#1                   ******************************************************************************************
#                    *                                                                                        *
#                    *      BESANCON MODEL OF STELLAR POPULATION SYNTHESIS 2003-12
#                    *             
#                    * 
#                    ******************************************************************************************
#
#
#  (l =   200.0; b =   90.0)  Distance  0.0 a  50.0 kpc;  Solid angle      1.000  square degree
#  Adaptive step in distance  (20,30,50)
#  SELECTIONS :
#      Absolute magnitude:    -7.00 - 20.00
#      Apparent magnitudes Band   u  :-99.00- 99.00
#                          Band   g  :-99.00- 99.00
#                          Band   r  :-99.00- 99.00
#                          Band   i  : 15.00- 23.00
#                          Band   z  :-99.00- 99.00
#
#      Selection in age: from .00E9Gyr to Bulge
#      Spectral types: O0.0 - D5.0  Luminosity class    : 1 - 7  logTeff: 3.00 -  6.00  Log g:        -3.00-        8.00
#      Colour :  u-g      -99.00 -  99.00 Step    10.00
#                g-r      -99.00 -  99.00 Step    10.00
#                r-i      -99.00 -  99.00 Step    10.00
#                i-z      -99.00 -  99.00 Step    10.00
#
#      No kinematics                           
#   Computation mode :
#      Poisson drawings (ran1) for N <=  6
#      Photometric error laws:   i : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#                                u : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#                                g : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#                                r : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#                                z : 0.000000E+00+mag*0.000000E+00+mag^2*0.000000E+00
#      System: CFHT-Megacam : u* g r i z   0.323  0.257  0.300  0.412  0.718
#      Creation of a catalogue of simulated stars
#  
#   Evolution model parameters 
#     Nb of tracks : 881 (with masses)                                               
#     Low masses from Vandenberg                                                     
#     Masses >1Msun Schaller et al.                                                  
#     Type of disc luminosity function: Hipparcos                                    
#     Integration time (Gyr):  10.000                                                
#          SFR : SFR consta    , nu : 0.400                                          
#          IMF : IMF 0.6 (<1Msun), 2.0 (>1Msun)                                      
#     Bolometric corrections : Flower                                                
#     Grid :   mag(sup, inf)=(-11.000 , 17.00 ) 10.000                               
#          LogTeff(sup, inf)=(  3.400 ,  5.50 )100.000                               
#       WD disc Wood 10Gyr Bergeron colors                                           
#     Pop   2  bv923m3.lf   hb3m3.lf     Age= 11.0Gyr  x=-0.5  WD IMF Salpeter 12Gyr 
#     Pop   3  bv923m4.lf   hb3m4.lf     Age= 14.0Gyr  x=-0.5  WD IMF2 14Gyr halo DA 
#     #  Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr                        
#  
#        Simulation of the stellar content of the Galaxy                       
#  
#  DENSITY LAWS (distances in pc, densities in M0/PC3)
#      Disc density law: Einasto; bulge Dwek G2; with warp and flare 
#      Distance Sun - Galactic Center : 8500.00  Disc outer truncation :14000.00
#      Sun position z_0  :15.00 Warp: starting position   8400.00 pc, angle  1.57080 radians, slope  0.18000 Flare: slope    0.5450E-06 starting position   9500.00 pc
#      Disc scale length: Young disc: 5000.0 3000.0; Old disc: 2530.0 1320.0
#      Disc excentricities : 0.0140 0.0268 0.0375 0.0551 0.0696 0.0785 0.0791
#      Thick disc: Modified exponential    800.00 2500.00  400.00 density correction   1.000 White dwarfs: 0.50609E-03/pc3
#      Spheroid: excentricity: 0.7600 exponent:  2.440 density correction   1.000 Halo white dwarfs: 0.28286E-03/pc3
#      Interstellar matter: Einasto law: excentricity and scale lengths in pc 0.0140  7222.0  5777.0
#      Disc mass density as a fct of age in M/pc3 :.003999  .007902  .006224  .004020  .005814  .004928  .006590
#      Stellar densities in */pc3 for Mv<8 (disc, Th.Disc, Spheroid) :.154E-01  .103E-02  .794E-05  . White dwarfs:.660E-02  .506E-03  .283E-03
#      Interstellar matter ( M/pc3) :.0210
#  
#      bulge Dwek G2;    1.590/ 0.424/ 0.42(kpc)  alpha (deg) 78.90 gamma  91.27 beta   3.50 Normalisation    0.2544E+11 x   1.0000 Cutoff   2.54kpc
#
#  METALLICITIES     .15E9  1. E9  2. E9  3. E9  5. E9  7. E9  10.E9  Th.D.  Spher  Bulge
#      [FE/H]         0.01   0.03   0.03   0.01  -0.07  -0.14  -0.37  -0.78  -1.78   0.00
#      Dispersion     0.12   0.12   0.10   0.11   0.18   0.17   0.20   0.30   0.50   0.40
#      Gradient -    -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07   0.00   0.00   0.00
#      Gradient |     0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
#  Absorption at s.n. : 0.70 mag./kpc   0 clouds
#  Dist    Mv  CL Typ  LTef  logg Age Mass  u-g    g-r    r-i    i-z    i   [Fe/H] l           b         Av   Mbol
  0.033 14.80  5 7.90 3.473  5.12  6 0.14  2.750  1.286  1.663  0.698 15.549  0.02 200.00000  90.00000  0.013 12.985
  0.052 18.00  5 7.90 3.401  5.31  2 0.09  4.050  1.708  2.410  1.297 18.928  0.04 200.00000  90.00000  0.026  0.000
  0.071 15.00  5 7.90 3.469  5.10  5 0.13  2.887  1.312  1.717  0.714 17.273 -0.07 200.00000  90.00000  0.036 13.153
  0.091 16.00  5 7.80 3.446  5.25  3 0.10  3.168  1.423  1.976  0.858 18.580 -0.01 200.00000  90.00000  0.045  0.000
  0.091 19.00  5 7.90 3.377  5.34  2 0.08  4.533  1.737  2.713  1.114 21.149 -0.08 200.00000  90.00000  0.045  0.000
  0.091 19.00  5 7.90 3.377  5.34  3 0.08  4.599  1.830  2.711  1.116 21.015 -0.07 200.00000  90.00000  0.045  0.000
  0.091 16.40  6 9.00 3.582  8.00  4 0.60  1.748  0.889  0.740  0.273 20.181  0.18 200.00000  90.00000  0.045  0.000
  0.117 14.60  5 7.90 3.477  5.08  2 0.14  2.709  1.271  1.644  0.698 18.128  0.00 200.00000  90.00000  0.051 12.785
  0.117 14.60  5 7.90 3.477  5.08  4 0.14  2.710  1.287  1.591  0.712 18.212  0.14 200.00000  90.00000  0.051 12.785
  0.117 13.60  5 7.60 3.495  5.07  3 0.18  2.456  1.212  1.455  0.655 17.242  0.09 200.00000  90.00000  0.051 11.880
  0.117 13.40  5 7.60 3.499  5.04  2 0.19  2.396  1.211  1.400  0.671 17.037  0.23 200.00000  90.00000  0.051 11.680
  0.117 12.20  5 7.40 3.520  4.99  2 0.27  2.228  1.163  1.294  0.585 16.067 -0.07 200.00000  90.00000  0.051 10.575
  0.117 12.00  5 7.40 3.524  4.97  6 0.29  2.116  1.157  1.297  0.605 15.729  0.07 200.00000  90.00000  0.051 10.375
  0.117 16.00  5 7.80 3.446  5.25  2 0.10  3.209  1.498  1.979  0.858 19.109 -0.02 200.00000  90.00000  0.051  0.000
  0.117 16.00  5 7.80 3.446  5.25  4 0.10  3.212  1.485  1.955  0.872 19.194  0.07 200.00000  90.00000  0.051  0.000
  0.117 16.50  5 7.80 3.435  5.27  2 0.09  3.490  1.520  2.103  0.926 19.524 -0.10 200.00000  90.00000  0.051  0.000
  0.117 16.50  5 7.80 3.435  5.27  3 0.09  3.247  1.547  2.013  0.975 19.575  0.21 200.00000  90.00000  0.051  0.000
  0.117 17.50  5 7.85 3.413  5.30  2 0.09  3.754  1.566  2.279  1.175 20.454  0.11 200.00000  90.00000  0.051  0.000
  0.117 18.00  5 7.90 3.401  5.31  4 0.09  4.068  1.605  2.324  1.321 20.992  0.26 200.00000  90.00000  0.051  0.000
  0.117 19.00  5 7.90 3.377  5.34  3 0.08  4.592  1.804  2.723  1.109 21.445 -0.13 200.00000  90.00000  0.051  0.000
  0.117 19.50  5 7.90 3.365  5.35  6 0.08  4.815  1.869  2.813  1.161 22.030  0.08 200.00000  90.00000  0.051  0.000
  0.117 20.00  5 7.90 3.353  5.36  2 0.08  4.966  1.964  2.922  1.191 22.332  0.16 200.00000  90.00000  0.051  0.000
  0.117 20.00  5 7.90 3.353  5.36  5 0.08  5.064  2.004  2.978  1.181 22.233 -0.11 200.00000  90.00000  0.051  0.000
  0.117 15.30  6 9.00 3.685  8.00  3 0.60  1.463  0.641  0.295  0.168 20.138  0.01 200.00000  90.00000  0.051  0.000
  0.147 15.50  5 7.90 3.459  5.16  3 0.12  2.982  1.376  1.827  0.785 19.252  0.04 200.00000  90.00000  0.057 13.653
  0.147 14.90  5 7.90 3.471  5.12  7 0.13  3.003  1.308  1.699  0.695 18.878 -0.21 200.00000  90.00000  0.057 13.085
  0.147 13.90  5 7.65 3.490  5.04  7 0.16  2.991  1.254  1.475  0.605 17.999 -0.48 200.00000  90.00000  0.057 12.148
  0.147 13.70  5 7.65 3.493  5.00  5 0.17  2.583  1.219  1.481  0.643 17.775 -0.10 200.00000  90.00000  0.057 11.948
  0.147 13.60  5 7.60 3.495  5.07  3 0.18  2.461  1.211  1.465  0.652 17.690  0.05 200.00000  90.00000  0.057 11.880
  0.147 13.60  5 7.60 3.495  5.07  5 0.18  2.437  1.236  1.397  0.694 17.722  0.34 200.00000  90.00000  0.057 11.880
  0.147 13.50  5 7.60 3.497  5.05  4 0.18  2.434  1.208  1.441  0.657 17.717  0.10 200.00000  90.00000  0.057 11.780
  0.147 13.20  5 7.50 3.502  5.06  7 0.20  2.563  1.198  1.389  0.606 17.349 -0.20 200.00000  90.00000  0.057 11.512
