#xcoord      ycooord     mag    type rot
2173.049366 2928.793892 29.217563 0 0.00000
393.023277 3499.210343 25.898187 0 0.00000
969.102146 236.617716 25.313076 0 0.00000
823.383937 3135.648203 23.575543 0 0.00000
3155.545622 1897.265993 28.374696 0 0.00000
2651.114516 3304.251773 29.410191 0 0.00000
2242.460690 3613.271903 21.022793 0 0.00000
2227.582851 2406.468339 26.594864 0 0.00000
552.700741 588.363980 29.891863 0 0.00000
320.529385 2695.139356 25.963220 0 0.00000
2052.695739 2853.694514 28.787890 0 0.00000
249.067565 2732.466141 15.532340 0 0.00000
2612.032681 3692.089706 27.439508 0 0.00000
267.042299 1879.222409 24.750696 0 0.00000
710.327499 3572.216747 18.959543 0 0.00000
688.520927 1013.363521 22.799208 0 0.00000
3984.795697 1719.182333 22.940944 0 0.00000
3860.560329 2912.778961 14.459947 0 0.00000
1188.142231 2429.789573 20.203365 0 0.00000
3429.390036 163.187286 29.800917 0 0.00000
3077.030614 1709.294148 28.839619 0 0.00000
2525.518209 2232.326501 26.252839 0 0.00000
158.523384 3867.809597 27.398184 0 0.00000
1025.829058 2443.973231 29.041078 0 0.00000
3511.777349 770.989921 24.302904 0 0.00000
26.436592 1811.938479 26.693406 0 0.00000
2374.342975 76.914650 22.706114 0 0.00000
2043.772125 122.544326 27.314676 0 0.00000
2743.541881 3262.168028 28.408322 0 0.00000
1381.812402 104.106007 24.650936 0 0.00000
549.684643 2761.551400 25.763815 0 0.00000
717.706741 2134.452378 29.759296 0 0.00000
1757.561348 1636.401330 24.735668 0 0.00000
3343.452813 2604.487658 25.810634 0 0.00000
1225.389262 532.411981 21.056440 0 0.00000
2518.898164 2563.517151 29.009714 0 0.00000
2447.210647 607.197687 28.623660 0 0.00000
1328.774009 3508.869817 26.527469 0 0.00000
2542.367426 1114.569475 23.179555 0 0.00000
2829.485969 1697.204952 27.542389 0 0.00000
1648.523360 1779.608884 27.272213 0 0.00000
1212.269972 2611.342356 25.643918 0 0.00000
3761.049038 2961.885540 25.915815 0 0.00000
3258.773369 464.167427 24.128075 0 0.00000
2139.023595 647.897150 28.191156 0 0.00000
2406.418339 1723.368606 28.704650 0 0.00000
167.572776 3938.397859 23.407539 0 0.00000
964.975095 1896.432778 25.992142 0 0.00000
2066.418527 189.279927 19.793655 0 0.00000
3535.968856 1394.150798 21.782097 0 0.00000
1838.508983 2351.634983 25.399891 0 0.00000
1695.234581 1526.079741 24.130323 0 0.00000
3073.992523 1497.779502 22.935378 0 0.00000
1893.798023 832.702026 16.518959 0 0.00000
1368.702697 2193.714673 23.226543 0 0.00000
1857.431802 955.467454 20.352965 0 0.00000
4010.735950 1343.455498 25.445393 0 0.00000
3246.982667 3098.343762 28.974233 0 0.00000
540.013433 2027.280851 19.430375 0 0.00000
2732.033915 1067.252221 27.557355 0 0.00000
410.342410 203.250032 24.574020 0 0.00000
4041.235765 1109.887564 23.138090 0 0.00000
3325.461793 1158.592722 25.235937 0 0.00000
271.820999 1128.984099 29.892088 0 0.00000
1388.583377 3217.258147 17.889150 0 0.00000
476.016422 3688.945925 26.468840 0 0.00000
2798.887939 3693.100799 28.666730 0 0.00000
169.448165 2893.313199 21.392901 0 0.00000
1887.990698 684.065800 29.970114 0 0.00000
2688.443223 3059.818473 27.387832 0 0.00000
2736.651924 203.460677 24.319819 0 0.00000
1110.884793 247.076981 24.234046 0 0.00000
378.423342 3231.869998 24.582475 0 0.00000
2405.003823 2638.937128 29.328463 0 0.00000
1658.874964 2976.776448 23.844775 0 0.00000
2460.656040 273.076535 16.759625 0 0.00000
2351.017383 427.044663 29.759235 0 0.00000
352.103929 289.923776 24.777787 0 0.00000
371.888467 1168.855416 23.603253 0 0.00000
363.847781 985.778765 22.330798 0 0.00000
4053.415119 3153.891251 29.363026 0 0.00000
2128.755717 498.934715 28.020018 0 0.00000
3536.393430 2898.865280 27.179898 0 0.00000
3176.439459 3309.784732 25.495657 0 0.00000
501.187757 2177.438163 25.624338 0 0.00000
1813.303092 2451.780390 25.139146 0 0.00000
3094.315270 3114.191158 25.090157 0 0.00000
1748.197675 2478.504558 27.056686 0 0.00000
319.005624 2457.191935 19.256581 0 0.00000
3529.246016 3626.260434 24.533688 0 0.00000
3023.797349 598.665653 29.502105 0 0.00000
4081.687836 3906.495406 27.394329 0 0.00000
3744.779231 2034.811750 22.817264 0 0.00000
3414.207139 3510.974377 29.650756 0 0.00000
4049.566992 1704.627496 23.452228 0 0.00000
159.646485 2193.953388 19.243657 0 0.00000
1661.766666 235.328717 17.414241 0 0.00000
1584.985512 915.385071 27.387160 0 0.00000
195.083007 426.384191 29.160049 0 0.00000
2618.033384 2765.735192 19.717824 0 0.00000
1721.387966 3369.460267 27.909645 0 0.00000
3339.445935 56.031063 25.978945 0 0.00000
430.879988 2928.659823 23.293784 0 0.00000
3671.667683 602.937896 21.742704 0 0.00000
425.473357 2604.427108 27.069411 0 0.00000
3529.230692 1660.020143 18.001032 0 0.00000
1557.861709 701.723928 26.298071 0 0.00000
434.942864 3766.311547 24.352585 0 0.00000
2016.415369 1311.164508 28.800785 0 0.00000
3798.509734 3406.175980 23.141331 0 0.00000
682.731547 99.281020 27.265548 0 0.00000
1591.581555 2907.715231 29.573902 0 0.00000
790.231468 3343.302695 23.561167 0 0.00000
3743.814679 433.422604 21.051278 0 0.00000
432.087681 350.321964 21.933115 0 0.00000
3562.839067 3830.866298 29.404917 0 0.00000
3698.577803 3359.390683 24.075460 0 0.00000
703.827261 2750.611967 21.847179 0 0.00000
477.313494 519.307134 25.107115 0 0.00000
1777.681081 2023.740719 24.211929 0 0.00000
981.119306 1608.840174 27.485787 0 0.00000
3047.071927 2824.525607 20.068581 0 0.00000
3388.353428 1334.057401 21.351603 0 0.00000
2639.028582 2133.118913 23.942989 0 0.00000
1852.697740 2620.407499 24.039935 0 0.00000
1262.935097 2999.282898 21.415538 0 0.00000
3049.950200 678.176801 26.086691 0 0.00000
1601.231639 2768.707115 27.259014 0 0.00000
2289.171990 3820.574856 27.523943 0 0.00000
3295.656938 1900.914442 24.219325 0 0.00000
2605.591417 3475.741128 25.858377 0 0.00000
2716.813563 3825.460741 29.977574 0 0.00000
1990.896334 4123.634939 27.214729 0 0.00000
3691.541720 3755.817200 25.702490 0 0.00000
1543.908370 3989.061263 25.046314 0 0.00000
2853.595036 280.878371 21.427084 0 0.00000
2217.032738 51.608097 21.182880 0 0.00000
1931.603837 591.092689 27.622973 0 0.00000
3431.041332 219.859321 23.314988 0 0.00000
1119.984720 266.535189 28.167442 0 0.00000
3002.539230 1922.228561 24.303505 0 0.00000
2925.313164 1133.676052 23.288598 0 0.00000
3994.886995 3280.565008 25.204555 0 0.00000
1916.515827 2600.677321 22.941653 0 0.00000
945.091277 1814.074052 25.843371 0 0.00000
3664.482502 732.264495 16.578970 0 0.00000
626.199932 1664.282166 23.723570 0 0.00000
2541.009966 4091.832595 25.899821 0 0.00000
4066.748251 75.899760 18.823826 0 0.00000
3203.110795 2823.010509 26.483394 0 0.00000
865.262525 3046.091553 22.425562 0 0.00000
1216.648009 802.056906 26.547873 0 0.00000
3620.368887 2634.310480 25.950203 0 0.00000
1394.831344 2063.634876 25.262359 0 0.00000
826.450674 157.342451 26.832829 0 0.00000
1378.242993 1496.044354 24.198713 0 0.00000
2720.753814 3841.641185 23.115503 0 0.00000
3321.789290 874.957036 24.820191 0 0.00000
1730.016591 3329.946998 26.663139 0 0.00000
671.627937 1496.808368 28.140755 0 0.00000
3950.105334 3405.809945 26.712261 0 0.00000
3427.248616 287.657725 24.081848 0 0.00000
3102.057231 2898.867998 28.784391 0 0.00000
1629.027640 871.760913 28.983003 0 0.00000
3272.062014 43.291014 28.964745 0 0.00000
3631.404652 1353.838617 26.361411 0 0.00000
917.985789 978.813566 19.888387 0 0.00000
2409.474412 3440.562106 24.483015 0 0.00000
1253.178513 1526.458923 17.854444 0 0.00000
192.511496 2866.212048 21.160815 0 0.00000
3582.374517 2069.182943 19.758321 0 0.00000
3373.792302 2172.211985 27.347191 0 0.00000
3258.083870 2909.373469 13.582571 0 0.00000
1144.683700 2298.423348 28.772917 0 0.00000
2953.733497 3029.546185 27.324714 0 0.00000
1900.695295 951.464459 20.984675 0 0.00000
3789.858706 3173.762521 26.934239 0 0.00000
2474.311097 1979.245284 29.585358 0 0.00000
483.774112 3329.886311 29.020282 0 0.00000
433.313114 3998.272759 26.304998 0 0.00000
2442.062464 943.451425 18.722197 0 0.00000
2731.125203 2728.578600 22.361377 0 0.00000
3820.655795 2795.801132 15.805737 0 0.00000
301.119616 4093.644895 25.328603 0 0.00000
382.327616 1694.192117 27.969207 0 0.00000
685.579876 211.116607 22.351072 0 0.00000
2509.280626 3959.702779 28.839975 0 0.00000
1466.313529 2259.541988 24.072224 0 0.00000
4089.206780 3929.162031 25.504397 0 0.00000
3406.601986 3213.992180 29.205878 0 0.00000
3681.536650 3748.121990 27.920526 0 0.00000
3515.533777 2372.681156 20.561434 0 0.00000
1086.504726 2996.713259 24.654927 0 0.00000
3199.009227 131.944227 24.048027 0 0.00000
1380.931998 4027.434198 29.489872 0 0.00000
1492.788123 2100.715449 22.557419 0 0.00000
1353.977824 1523.491072 21.961927 0 0.00000
3605.422906 4056.118944 22.452906 0 0.00000
3185.555145 2527.956272 28.980638 0 0.00000
3854.488663 1676.976599 23.659617 0 0.00000
1357.326978 544.721176 29.627623 0 0.00000
2563.138270 991.359876 25.144780 0 0.00000
2468.092637 2657.752197 26.404690 0 0.00000
53.559665 3365.530187 23.917347 0 0.00000
2623.303395 225.799545 20.114682 0 0.00000
1553.968400 2442.445352 21.071740 0 0.00000
2030.059779 2085.874874 29.015834 0 0.00000
3144.815295 1780.342362 23.213176 0 0.00000
2710.637754 667.685337 21.993449 0 0.00000
1994.918949 3587.849029 23.834753 0 0.00000
3997.450110 2478.245696 29.414693 0 0.00000
3391.129623 3725.057403 26.091549 0 0.00000
3113.024063 1772.372627 27.582644 0 0.00000
1388.182469 747.154243 22.864775 0 0.00000
2468.926915 2805.182893 23.842578 0 0.00000
3124.252577 178.912550 26.805725 0 0.00000
2055.909651 173.501579 28.960692 0 0.00000
3269.172349 1864.904756 20.737128 0 0.00000
1413.673854 4100.440765 26.035118 0 0.00000
630.800582 2053.517192 25.487151 0 0.00000
1052.034160 614.326048 21.705396 0 0.00000
3353.018185 130.946576 21.744753 0 0.00000
3078.635450 3847.590192 26.232030 0 0.00000
718.008453 295.239488 24.285058 0 0.00000
2170.471737 2158.759914 23.752564 0 0.00000
2914.186507 409.804709 19.097164 0 0.00000
2513.719114 1569.406631 22.186544 0 0.00000
217.427527 2333.213403 26.424473 0 0.00000
4066.762366 1227.295718 25.488427 0 0.00000
767.637715 595.093636 22.436752 0 0.00000
2494.326585 2010.369242 19.398793 0 0.00000
3261.527364 1065.297582 29.835013 0 0.00000
3497.589456 3093.037074 24.704218 0 0.00000
917.651164 4068.111916 24.401756 0 0.00000
425.205007 517.677842 28.121947 0 0.00000
1731.012326 270.352397 27.271658 0 0.00000
2564.896542 1570.537028 25.330593 0 0.00000
2521.807347 2508.465142 28.028341 0 0.00000
3548.503769 3599.404973 29.157005 0 0.00000
2707.360427 3135.421678 22.007255 0 0.00000
601.648825 1190.836850 20.418151 0 0.00000
1868.176943 3642.360495 28.171814 0 0.00000
4012.432555 3977.649995 23.676540 0 0.00000
348.608554 1403.447643 20.761322 0 0.00000
819.373498 2906.085856 27.204733 0 0.00000
2942.958331 1577.781913 21.861958 0 0.00000
0.018549 1143.433416 28.915918 0 0.00000
1754.912200 1764.761910 28.654727 0 0.00000
555.372912 670.013223 29.034181 0 0.00000
3859.675110 1603.958158 21.182471 0 0.00000
3370.735057 1076.978429 18.949369 0 0.00000
2008.934425 2897.166571 28.059741 0 0.00000
1994.287106 1651.078452 24.346160 0 0.00000
1931.422422 2956.712147 26.366172 0 0.00000
345.130594 3135.486727 20.299442 0 0.00000
1648.298858 3503.983256 22.975401 0 0.00000
3771.767359 429.414451 24.828172 0 0.00000
1322.754108 3263.100682 24.752215 0 0.00000
2982.844127 3352.861637 28.910428 0 0.00000
2405.013597 316.485956 28.375392 0 0.00000
3678.384180 1821.282282 20.043733 0 0.00000
3260.572318 3812.557370 19.787223 0 0.00000
840.390765 3525.388230 22.187139 0 0.00000
2327.450958 3237.851506 20.189223 0 0.00000
1520.164988 383.408545 17.060680 0 0.00000
2737.791239 3243.431592 23.137209 0 0.00000
1194.730985 3558.970197 18.766186 0 0.00000
1223.821500 1062.683703 27.943415 0 0.00000
1041.996377 4.379815 21.480945 0 0.00000
1120.337919 1585.689875 25.177682 0 0.00000
550.005715 961.918281 26.320633 0 0.00000
1757.369700 445.511275 29.885965 0 0.00000
3873.508006 3534.686685 29.250193 0 0.00000
3717.641352 238.838215 26.719361 0 0.00000
2683.246259 264.967216 25.285918 0 0.00000
2392.968792 425.728407 27.183452 0 0.00000
2998.078105 1058.681154 26.142242 0 0.00000
2089.203203 2698.760120 26.636102 0 0.00000
3445.372791 2369.956393 21.381813 0 0.00000
1706.216115 3681.829806 23.040454 0 0.00000
4095.376146 794.112549 28.049353 0 0.00000
2714.435353 1139.564203 20.103484 0 0.00000
2606.076815 3423.030314 29.954556 0 0.00000
1546.434791 1529.962260 21.130744 0 0.00000
3906.155165 2355.560002 28.010254 0 0.00000
2432.253156 1687.784496 19.971099 0 0.00000
575.889924 1724.170700 23.347849 0 0.00000
3891.967925 4050.168158 20.879642 0 0.00000
3810.125295 346.726900 28.147565 0 0.00000
1148.328284 773.916410 20.997048 0 0.00000
425.774940 3003.101859 26.797478 0 0.00000
3317.394025 628.206784 23.937916 0 0.00000
714.890691 1164.577857 28.703886 0 0.00000
1983.796994 3571.689681 23.842433 0 0.00000
3940.673699 3850.225177 23.019583 0 0.00000
3169.918555 659.022793 27.683150 0 0.00000
185.415051 3734.610459 29.148914 0 0.00000
2079.760790 2767.046022 22.104373 0 0.00000
2531.243811 2638.393295 23.736727 0 0.00000
2920.537723 3227.180423 15.112536 0 0.00000
2926.153109 763.657019 20.326926 0 0.00000
2541.274795 1838.055695 17.697151 0 0.00000
240.954991 2209.070339 25.528337 0 0.00000
1271.233309 3953.621883 22.637491 0 0.00000
356.534638 2302.233096 27.545109 0 0.00000
3906.179632 2384.797419 28.497274 0 0.00000
1941.329483 99.859698 24.904957 0 0.00000
700.524799 534.393018 26.655281 0 0.00000
2811.269261 1742.660924 28.904389 0 0.00000
2581.877434 625.957745 24.229243 0 0.00000
1474.203799 4043.704345 23.831940 0 0.00000
388.878724 2557.507228 24.271112 0 0.00000
2169.932282 1570.174877 23.909870 0 0.00000
2691.130846 3086.432515 23.683464 0 0.00000
500.869311 2973.646156 23.095983 0 0.00000
4089.173269 3747.464227 27.623280 0 0.00000
3012.155900 3372.920362 29.649226 0 0.00000
2529.452636 2076.981212 29.585808 0 0.00000
3715.645685 3188.623826 20.774565 0 0.00000
3232.722101 4010.478453 21.002946 0 0.00000
927.974212 2876.900557 21.740952 0 0.00000
3496.525305 3500.327768 25.554164 0 0.00000
1770.989751 1101.295435 23.451870 0 0.00000
2272.630391 3990.433414 24.277238 0 0.00000
1543.662980 3996.097172 29.465731 0 0.00000
829.250741 1862.834214 26.779478 0 0.00000
2015.860442 3317.917404 29.921433 0 0.00000
728.430677 1671.008187 22.778799 0 0.00000
1610.532048 2266.331430 29.778047 0 0.00000
2174.609013 792.649221 20.322290 0 0.00000
220.895395 1376.664988 26.306302 0 0.00000
1807.765493 127.146889 25.402338 0 0.00000
3194.720119 1959.271132 27.707651 0 0.00000
693.669616 2610.781322 28.662474 0 0.00000
2523.165951 3490.451163 20.622191 0 0.00000
4061.927598 619.358252 28.132258 0 0.00000
3110.909605 2706.539364 24.076659 0 0.00000
4009.798361 111.704860 24.083272 0 0.00000
877.607210 2033.068988 17.760443 0 0.00000
1943.310952 228.119028 28.311893 0 0.00000
2421.398012 1628.729913 24.763063 0 0.00000
2945.030220 2362.411492 23.148141 0 0.00000
3897.615974 1463.009045 28.969345 0 0.00000
3209.672726 4001.424526 21.955876 0 0.00000
349.611102 4091.413575 25.983994 0 0.00000
1257.197269 2384.172061 23.864293 0 0.00000
718.007193 2324.360776 27.697225 0 0.00000
136.062592 1982.082129 29.529289 0 0.00000
2731.494147 3666.893212 21.655854 0 0.00000
2428.455314 279.834429 26.119977 0 0.00000
1554.757328 1907.276329 28.833218 0 0.00000
441.029458 2263.363148 27.349063 0 0.00000
1845.024698 2908.757347 29.180391 0 0.00000
1231.720336 1047.264693 24.327403 0 0.00000
997.274510 3660.354265 28.760939 0 0.00000
1617.408808 122.897751 27.011640 0 0.00000
2519.704023 2972.553381 22.236314 0 0.00000
2267.154022 77.735870 29.839612 0 0.00000
217.994151 2217.862941 21.998895 0 0.00000
2947.193496 1970.673385 28.781231 0 0.00000
329.726347 2879.113321 28.098204 0 0.00000
1102.765413 909.187613 29.352119 0 0.00000
3990.642222 2817.687541 24.283888 0 0.00000
1555.927850 2625.286258 29.456156 0 0.00000
292.119823 2034.481032 27.791751 0 0.00000
1433.464571 1434.937384 28.960100 0 0.00000
3858.985647 3431.450113 22.405377 0 0.00000
2227.905866 1491.710410 21.635601 0 0.00000
3280.495777 2710.782956 18.784173 0 0.00000
3551.191027 1450.126610 23.280606 0 0.00000
4013.870288 3384.008584 20.185195 0 0.00000
2263.176660 2515.111117 28.375600 0 0.00000
1180.788532 3588.528595 20.147916 0 0.00000
1303.769860 98.348378 19.511769 0 0.00000
1322.263473 3227.810467 28.796678 0 0.00000
1124.336192 2217.576469 26.624223 0 0.00000
3111.413127 1919.501007 20.445827 0 0.00000
3538.749284 123.939055 22.442493 0 0.00000
928.399894 1523.160178 25.691948 0 0.00000
3288.622204 221.302002 20.071528 0 0.00000
274.391457 237.176725 21.192242 0 0.00000
865.220247 1256.247728 26.012694 0 0.00000
176.801028 2997.968192 27.374868 0 0.00000
817.713600 2506.079828 28.756026 0 0.00000
1991.827377 1070.336308 21.443313 0 0.00000
1832.575497 1279.066044 24.744164 0 0.00000
2368.611116 640.957401 27.489197 0 0.00000
1161.874814 508.486148 22.344733 0 0.00000
1191.532514 1805.281716 22.594107 0 0.00000
54.164074 2442.489835 15.309005 0 0.00000
3874.364347 305.031522 23.108218 0 0.00000
1745.085643 340.869779 26.146139 0 0.00000
1727.028789 3499.441263 24.880239 0 0.00000
2725.333093 1450.300913 25.593123 0 0.00000
1278.448889 2453.861641 28.247290 0 0.00000
1520.341854 938.487823 18.382899 0 0.00000
1295.823013 1803.077260 22.385840 0 0.00000
180.623449 3217.644411 18.337463 0 0.00000
3559.244611 2679.106688 28.903362 0 0.00000
265.805100 1881.775321 24.749242 0 0.00000
3791.064641 3070.252441 28.959420 0 0.00000
1983.844334 3297.484679 23.048733 0 0.00000
265.169887 1455.324739 24.405759 0 0.00000
1815.722782 2828.285056 24.135296 0 0.00000
3371.833228 3482.708145 24.863383 0 0.00000
642.160812 311.763504 21.826311 0 0.00000
1475.741865 2365.959325 17.545439 0 0.00000
3363.880029 3459.698957 25.825876 0 0.00000
2738.971316 630.695843 22.040560 0 0.00000
1918.883315 1596.732815 28.069775 0 0.00000
2395.771879 3506.005242 28.308413 0 0.00000
3482.529048 3520.094227 29.144484 0 0.00000
362.365411 1149.215908 25.073554 0 0.00000
3287.180250 2482.200806 29.559941 0 0.00000
3608.716546 1579.626732 24.655594 0 0.00000
458.768808 3735.495386 29.033583 0 0.00000
