#B	V	R+I	differential	cumulative
#Metcalfe et al 1991					
17.3	 16.5  16.0					165	165
17.7	 16.9  16.4					122	287
18.3	 17.5  17.0					185	472
18.7	 17.9  17.4					127	599
19.3	 18.5  18.0					262	861
19.7	 18.9  18.4					155	1016
20.2	 19.4  18.9					325	1341
20.8	 20.0  19.5					138	1479
21.3	 20.5  20.0					454	1933
21.7	 20.9  20.4					482	2415
22.2	 21.4  20.9					577	2992
22.7	 21.9  21.4					613	3605
23.3	 22.5  22.0					302	3907
23.8	 23.0  22.5					127	4034
24.3	 23.5  23.0					38	4072
