#Shao et al (2009)				
#R    logN per 0.5mag)						gals/sq arcmin
15.5 0.54 3    3							0
16   0.9  8    11						0
16.5 1.25 18   29						0
17   1.5  32  61						0
17.5 1.75 56  117						0
18   1.97 93  210						0
18.5 2.2  158 369						0
19   2.4  251 620						0
19.5 2.65 447 1067						0
20   2.85 708 1775						0
20.5 3.03 1072							2846	1
21   3.24 1738							4584	1
21.5 3.43 2692							7276	2
22   3.6  3981							11257	3
22.5 3.38 2399							13655	4
23   3.95 8913							22568	6
23.5 4.15 14125							36693	10
24   4.33 21380							58073	16
24.5 4.52 33113							91186	25
25   4.68 47863							139049	39
25.5 4.86 72444							211493	59
