#xcoor       ycooord	   magnitude     type    rotation
134.365      2243.67       19.449309       0      0.00000
3391.91      2378.70       20.656199       0      0.00000
2509.04      781.387       21.935549       0      0.00000
2376.39      3002.45       20.803327       0      0.00000
3980.07      83.0517       17.904929       0      0.00000
1177.52      3451.00       22.198753       0      0.00000
1302.15      3770.37       20.404929       0      0.00000
2295.08      2135.42       18.536587       0      0.00000
1269.30      3472.43       22.117251       0      0.00000
18.9454      259.448       15.752037       0      0.00000
3722.33      2142.81       22.446189       0      0.00000
2982.46      733.633       18.603569       0      0.00000
2609.52      580.419       21.455797       0      0.00000
1382.94      139.250       25.304683       0      0.00000
3023.47      3903.01       20.524408       0      0.00000
3088.05      3555.67       21.077836       0      0.00000
1564.52      29.9006       25.364560       0      0.00000
3463.79      1814.14       23.823829       0      0.00000
1186.76      3271.59       18.336650       0      0.00000
1329.42      1035.54       21.902434       0      0.00000
1650.46      3934.82       20.842452       0      0.00000
2500.18      3384.34       17.906314       0      0.00000
696.912      273.858       21.582146       0      0.00000
1864.89      3823.81       21.569552       0      0.00000
1581.82      1285.10       21.766088       0      0.00000
1645.17      3471.87       20.469336       0      0.00000
600.477      3717.96       22.849531       0      0.00000
624.300      3191.58       21.786032       0      0.00000
2299.47      3954.47       21.523559       0      0.00000
487.251      3986.68       23.717731       0      0.00000
2757.04      3969.71       19.026287       0      0.00000
2492.48      3709.15       23.116349       0      0.00000
2315.75      619.104       23.073303       0      0.00000
2540.65      1543.86       18.588035       0      0.00000
2082.60      785.991       19.402112       0      0.00000
1150.14      2462.48       15.633055       0      0.00000
256.789      3365.67       18.055737       0      0.00000
3640.96      755.534       23.002112       0      0.00000
1375.56      1135.67       22.494771       0      0.00000
2408.66      1316.76       21.505929       0      0.00000
1905.30      3722.10       22.885282       0      0.00000
3804.80      12.1938       22.352468       0      0.00000
221.714      3312.34       21.304774       0      0.00000
3526.38      1019.86       21.515220       0      0.00000
3732.67      997.430       20.657692       0      0.00000
1364.03      2871.82       16.332937       0      0.00000
893.408      3426.07       22.956303       0      0.00000
4089.53      172.818       23.757250       0      0.00000
3979.02      2859.68       23.624408       0      0.00000
2500.29      772.474       19.533055       0      0.00000
3951.29      3887.14       23.722225       0      0.00000
2846.03      249.047       16.369074       0      0.00000
2263.22      226.583       22.112521       0      0.00000
2650.11      3541.53       20.833055       0      0.00000
475.816      3619.60       20.618409       0      0.00000
559.748      1259.70       23.328574       0      0.00000
1376.13      4063.21       22.904683       0      0.00000
882.758      2321.36       24.093189       0      0.00000
798.049      177.056       22.938810       0      0.00000
3940.46      1053.57       22.173344       0      0.00000
1127.39      187.469       18.785091       0      0.00000
4079.74      1470.21       22.890380       0      0.00000
1482.11      1526.23       19.066088       0      0.00000
3506.85      3450.77       21.716349       0      0.00000
3667.49      227.916       22.582146       0      0.00000
3270.61      50.1129       24.804683       0      0.00000
1037.80      3506.26       21.532937       0      0.00000
613.180      1696.54       23.255092       0      0.00000
125.425      277.446       24.457692       0      0.00000
3943.94      3658.92       21.180037       0      0.00000
1674.07      3013.01       19.857692       0      0.00000
2547.20      720.694       19.964006       0      0.00000
2070.61      987.352       24.804683       0      0.00000
867.112      799.796       19.482872       0      0.00000
3209.49      4088.65       22.947249       0      0.00000
1560.09      4026.92       23.802112       0      0.00000
3763.96      3713.60       19.249309       0      0.00000
2846.32      2514.46       23.169074       0      0.00000
3983.14      2765.33       20.057648       0      0.00000
186.970      509.681       21.076128       0      0.00000
4092.08      379.420       21.899378       0      0.00000
3932.13      1717.66       22.634239       0      0.00000
1432.05      335.441       23.982872       0      0.00000
769.446      1721.61       22.844221       0      0.00000
962.191      2797.40       21.288035       0      0.00000
2759.75      2686.56       22.074250       0      0.00000
3270.20      19.7720       23.568056       0      0.00000
533.355      373.146       23.932937       0      0.00000
962.800      1972.95       23.684900       0      0.00000
3846.74      1770.13       24.649734       0      0.00000
2917.85     0.513142       22.507008       0      0.00000
1372.07      1584.11       16.165006       0      0.00000
2680.53      714.254       22.803327       0      0.00000
827.679      2483.41       21.527038       0      0.00000
2857.46      779.504       20.658909       0      0.00000
2140.81      3066.95       19.247048       0      0.00000
1919.26      2536.58       18.442452       0      0.00000
3880.16      1026.47       22.684900       0      0.00000
976.665      1356.78       22.202323       0      0.00000
2034.04      2202.40       17.796686       0      0.00000
1392.15      2369.10       20.094325       0      0.00000
1386.13      742.122       18.653472       0      0.00000
2245.51      2307.61       21.727038       0      0.00000
3726.10      3076.52       22.149309       0      0.00000
1910.75      629.166       22.947048       0      0.00000
3064.82      2473.34       22.504683       0      0.00000
1248.11      612.175       21.004055       0      0.00000
565.790      1382.27       24.169074       0      0.00000
1929.31      2824.02       17.535796       0      0.00000
2839.82      360.370       23.871999       0      0.00000
791.932      1668.02       22.733055       0      0.00000
2329.65      1782.30       21.032115       0      0.00000
3665.84      931.360       20.850932       0      0.00000
2836.12      149.399       22.995320       0      0.00000
1368.05      841.075       20.681253       0      0.00000
3847.54      698.497       22.703808       0      0.00000
3276.85      120.988       19.729134       0      0.00000
290.127      1358.18       22.883690       0      0.00000
1069.59      449.475       24.602112       0      0.00000
1917.80      2669.30       21.789847       0      0.00000
276.952      3358.16       22.504683       0      0.00000
2693.50      1927.02       19.396540       0      0.00000
951.210      4121.73       23.430755       0      0.00000
3303.14      666.245       19.633055       0      0.00000
510.241      2459.38       21.986403       0      0.00000
792.058      1713.37       22.649048       0      0.00000
1942.96      2677.77       16.432937       0      0.00000
1655.59      3246.79       22.686376       0      0.00000
2055.06      3280.05       23.094628       0      0.00000
2098.75      1932.25       19.913157       0      0.00000
2401.70      464.843       19.730629       0      0.00000
1998.09      2800.67       22.474781       0      0.00000
1496.83      1024.86       23.352037       0      0.00000
3008.01      3588.55       20.954681       0      0.00000
1668.37      3226.06       22.580171       0      0.00000
419.255      911.110       18.304929       0      0.00000
3697.64      86.9222       20.788035       0      0.00000
2971.53      2433.25       22.812521       0      0.00000
152.544      3426.42       17.783946       0      0.00000
2369.91      1568.80       23.524038       0      0.00000
676.422      482.271       21.024408       0      0.00000
653.851      2739.39       21.036244       0      0.00000
2374.84      2248.30       22.649734       0      0.00000
3028.46      495.426       17.396686       0      0.00000
487.074      1325.86       23.354267       0      0.00000
2398.38      1285.72       24.147048       0      0.00000
2926.74      1932.62       24.647048       0      0.00000
4031.20      2471.45       21.806998       0      0.00000
1636.19      3307.26       17.966088       0      0.00000
3619.21      2019.31       24.291514       0      0.00000
813.039      2869.86       20.505680       0      0.00000
1753.57      2602.63       19.289281       0      0.00000
3800.77      1249.03       18.411307       0      0.00000
3912.02      871.023       23.004929       0      0.00000
1025.80      1910.15       22.766079       0      0.00000
725.224      3734.43       20.786403       0      0.00000
2518.41      3995.85       21.662031       0      0.00000
1292.01      313.178       20.322225       0      0.00000
