G2V	RVS_T05750G45P00V000K2SNWNVRVSF	
8439.6643      8780.2676
3000	8.99706E-10
3005	9.37063E-10
3010	1.02344E-09
3015	9.89883E-10
3020	9.77632E-10
3025	1.10078E-09
3030	1.22229E-09
3035	1.21989E-09
3040	1.18048E-09
3045	1.21667E-09
3050	1.23481E-09
3055	1.14418E-09
3060	1.1344E-09
3065	1.20567E-09
3070	1.29925E-09
3075	1.30905E-09
3080	1.34842E-09
3085	1.41402E-09
3090	1.19706E-09
3095	1.08947E-09
3100	1.15584E-09
3105	1.37076E-09
3110	1.47032E-09
3115	1.39485E-09
3120	1.25521E-09
3125	1.267E-09
3130	1.42436E-09
3135	1.43009E-09
3140	1.31651E-09
3145	1.19753E-09
3150	1.19677E-09
3155	1.12876E-09
3160	1.20121E-09
3165	1.2872E-09
3170	1.39188E-09
3175	1.37896E-09
3180	1.25711E-09
3185	1.22666E-09
3190	1.23229E-09
3195	1.29822E-09
3200	1.57648E-09
3205	1.47986E-09
3210	1.4364E-09
3215	1.38839E-09
3220	1.32748E-09
3225	1.25163E-09
3230	1.21878E-09
3235	1.27362E-09
3240	1.34795E-09
3245	1.37825E-09
3250	1.43268E-09
3255	1.57819E-09
3260	1.74525E-09
3265	1.84496E-09
3270	1.84729E-09
3275	1.7586E-09
3280	1.67171E-09
3285	1.67765E-09
3290	1.7737E-09
3295	1.91503E-09
3300	1.98206E-09
3305	1.88972E-09
3310	1.76572E-09
3315	1.74463E-09
3320	1.7759E-09
3325	1.78231E-09
3330	1.76527E-09
3335	1.74855E-09
3340	1.76662E-09
3345	1.83311E-09
3350	1.86729E-09
3355	1.79759E-09
3360	1.6833E-09
3365	1.60475E-09
3370	1.59562E-09
3375	1.65911E-09
3380	1.72307E-09
3385	1.73114E-09
3390	1.76528E-09
3395	1.89376E-09
3400	1.99144E-09
3405	1.93841E-09
3410	1.82909E-09
3415	1.78607E-09
3420	1.83042E-09
3425	1.92973E-09
3430	1.93929E-09
3435	1.75962E-09
3440	1.58455E-09
3445	1.6054E-09
3450	1.71002E-09
3455	1.75249E-09
3460	1.75493E-09
3465	1.76577E-09
3470	1.77043E-09
3475	1.7468E-09
3480	1.70578E-09
3485	1.67445E-09
3490	1.7116E-09
3495	1.84614E-09
3500	1.95573E-09
3505	1.92934E-09
3510	1.8831E-09
3515	1.86528E-09
3520	1.82186E-09
3525	1.7944E-09
3530	1.90925E-09
3535	2.05689E-09
3540	2.14185E-09
3545	2.16384E-09
3550	2.12506E-09
3555	2.05573E-09
3560	1.98164E-09
3565	1.8009E-09
3570	1.65461E-09
3575	1.6165E-09
3580	1.498E-09
3585	1.50144E-09
3590	1.71924E-09
3595	1.9816E-09
3600	2.07412E-09
3605	1.9368E-09
3610	1.77061E-09
3615	1.77259E-09
3620	1.84777E-09
3625	2.01594E-09
3630	2.01492E-09
3635	2.0154E-09
3640	2.07484E-09
3645	2.00414E-09
3650	2.05839E-09
3655	2.33049E-09
3660	2.49428E-09
3665	2.47583E-09
3670	2.39619E-09
3675	2.33451E-09
3680	2.22373E-09
3685	2.20719E-09
3690	2.29108E-09
3695	2.41489E-09
3700	2.43546E-09
3705	2.27334E-09
3710	2.27449E-09
3715	2.33065E-09
3720	2.08737E-09
3725	2.08378E-09
3730	2.00707E-09
3735	1.79179E-09
3740	1.86018E-09
3745	1.82553E-09
3750	1.87245E-09
3755	2.14044E-09
3760	2.1515E-09
3765	2.20316E-09
3770	2.3426E-09
3775	2.62132E-09
3780	2.78916E-09
3785	2.62282E-09
3790	2.32125E-09
3795	2.16002E-09
3800	2.26558E-09
3805	2.49869E-09
3810	2.47926E-09
3815	2.14976E-09
3820	1.8383E-09
3825	1.5772E-09
3830	1.41786E-09
3835	1.41067E-09
3840	1.64598E-09
3845	2.07424E-09
3850	2.24718E-09
3855	2.12398E-09
3860	2.01793E-09
3865	2.14242E-09
3870	2.14016E-09
3875	2.10272E-09
3880	2.07625E-09
3885	2.03703E-09
3890	2.13179E-09
3895	2.34176E-09
3900	2.42207E-09
3905	2.47605E-09
3910	2.65419E-09
3915	2.64488E-09
3920	2.34361E-09
3925	1.81573E-09
3930	1.22839E-09
3935	1.17328E-09
3940	1.68E-09
3945	2.19728E-09
3950	2.56861E-09
3955	2.56357E-09
3960	2.12759E-09
3965	1.47298E-09
3970	1.34525E-09
3975	2.05057E-09
3980	2.77838E-09
3985	3.0914E-09
3990	3.19997E-09
3995	3.24564E-09
4000	3.28744E-09
4005	3.30218E-09
4010	3.39576E-09
4015	3.48295E-09
4020	3.51542E-09
4025	3.47384E-09
4030	3.38095E-09
4035	3.42163E-09
4040	3.46544E-09
4045	3.32342E-09
4050	3.3604E-09
4055	3.31185E-09
4060	3.2247E-09
4065	3.21886E-09
4070	3.27857E-09
4075	3.29239E-09
4080	3.37792E-09
4085	3.5723E-09
4090	3.62096E-09
4095	3.35437E-09
4100	3.04443E-09
4105	3.19588E-09
4110	3.52154E-09
4115	3.65967E-09
4120	3.63764E-09
4125	3.54278E-09
4130	3.45482E-09
4135	3.50352E-09
4140	3.57274E-09
4145	3.53355E-09
4150	3.5293E-09
4155	3.53007E-09
4160	3.60795E-09
4165	3.6016E-09
4170	3.47883E-09
4175	3.3906E-09
4180	3.41526E-09
4185	3.41854E-09
4190	3.43666E-09
4195	3.37404E-09
4200	3.31367E-09
4205	3.47745E-09
4210	3.6347E-09
4215	3.61203E-09
4220	3.46103E-09
4225	3.20741E-09
4230	3.25487E-09
4235	3.35712E-09
4240	3.42118E-09
4245	3.39335E-09
4250	3.30281E-09
4255	3.29756E-09
4260	3.32431E-09
4265	3.31198E-09
4270	3.13946E-09
4275	3.16314E-09
4280	3.27678E-09
4285	3.21804E-09
4290	3.06881E-09
4295	2.85615E-09
4300	2.52692E-09
4305	2.36901E-09
4310	2.51956E-09
4315	3.12551E-09
4320	3.52837E-09
4325	3.461E-09
4330	3.50626E-09
4335	3.34338E-09
4340	3.09925E-09
4345	3.28233E-09
4350	3.48709E-09
4355	3.58408E-09
4360	3.69042E-09
4365	3.73481E-09
4370	3.64172E-09
4375	3.50212E-09
4380	3.3537E-09
4385	3.22323E-09
4390	3.38015E-09
4395	3.53593E-09
4400	3.5676E-09
4405	3.55945E-09
4410	3.70003E-09
4415	3.77902E-09
4420	3.86267E-09
4425	3.88059E-09
4430	3.85692E-09
4435	3.81301E-09
4440	3.85766E-09
4445	3.91333E-09
4450	3.89924E-09
4455	3.70855E-09
4460	3.65657E-09
4465	3.78975E-09
4470	3.96366E-09
4475	4.04804E-09
4480	4.00043E-09
4485	3.99009E-09
4490	3.99464E-09
4495	4.03887E-09
4500	4.14505E-09
4505	4.23807E-09
4510	4.24319E-09
4515	4.14356E-09
4520	4.06209E-09
4525	3.84376E-09
4530	3.71474E-09
4535	3.85825E-09
4540	4.01526E-09
4545	3.96393E-09
4550	3.88977E-09
4555	3.99343E-09
4560	4.10693E-09
4565	4.10552E-09
4570	4.1263E-09
4575	4.10048E-09
4580	4.00443E-09
4585	4.00063E-09
4590	4.01651E-09
4595	3.98592E-09
4600	3.97557E-09
4605	4.05072E-09
4610	4.10207E-09
4615	4.09373E-09
4620	4.12911E-09
4625	4.13641E-09
4630	4.11568E-09
4635	4.03949E-09
4640	3.99957E-09
4645	3.92656E-09
4650	3.91493E-09
4655	4.00442E-09
4660	4.05945E-09
4665	3.89135E-09
4670	3.85831E-09
4675	3.932E-09
4680	3.96355E-09
4685	3.99317E-09
4690	3.99202E-09
4695	3.95967E-09
4700	3.84063E-09
4705	3.81232E-09
4710	3.87804E-09
4715	4.00514E-09
4720	4.10091E-09
4725	4.02797E-09
4730	3.90312E-09
4735	3.93792E-09
4740	4.02326E-09
4745	4.08771E-09
4750	4.06723E-09
4755	3.99827E-09
4760	3.96518E-09
4765	3.92799E-09
4770	4.0111E-09
4775	4.11093E-09
4780	4.12064E-09
4785	4.04317E-09
4790	4.02732E-09
4795	4.09616E-09
4800	4.10471E-09
4805	4.06131E-09
4810	4.03956E-09
4815	4.10366E-09
4820	4.10927E-09
4825	4.04862E-09
4830	4.02473E-09
4835	3.99703E-09
4840	3.95854E-09
4845	3.98748E-09
4850	3.91038E-09
4855	3.55285E-09
4860	3.16194E-09
4865	3.3401E-09
4870	3.60802E-09
4875	3.78621E-09
4880	3.8908E-09
4885	3.79764E-09
4890	3.75548E-09
4895	3.93652E-09
4900	4.0472E-09
4905	4.03648E-09
4910	3.93512E-09
4915	3.80447E-09
4920	3.63897E-09
4925	3.80808E-09
4930	3.98378E-09
4935	3.90176E-09
4940	3.87083E-09
4945	4.01109E-09
4950	4.0504E-09
4955	3.91507E-09
4960	3.87616E-09
4965	3.96399E-09
4970	3.96567E-09
4975	3.92847E-09
4980	3.77504E-09
4985	3.75614E-09
4990	3.89062E-09
4995	3.89454E-09
5000	3.81375E-09
5005	3.70336E-09
5010	3.6799E-09
5015	3.62495E-09
5020	3.64865E-09
5025	3.7654E-09
5030	3.84532E-09
5035	3.78052E-09
5040	3.66404E-09
5045	3.73516E-09
5050	3.80196E-09
5055	3.86906E-09
5060	3.92435E-09
5065	3.84649E-09
5070	3.78755E-09
5075	3.7222E-09
5080	3.67658E-09
5085	3.7787E-09
5090	3.87786E-09
5095	3.80124E-09
5100	3.73469E-09
5105	3.73918E-09
5110	3.77216E-09
5115	3.85198E-09
5120	3.80775E-09
5125	3.70052E-09
5130	3.68543E-09
5135	3.6636E-09
5140	3.59437E-09
5145	3.62261E-09
5150	3.68942E-09
5155	3.73683E-09
5160	3.65443E-09
5165	3.23667E-09
5170	2.98882E-09
5175	3.22563E-09
5180	3.31699E-09
