dot	square	
3000	       3300
3000	       1.0e-9
3005	       1.0e-9
3010	       1.0e-9
3015	       1.0e-9
3020	       1.0e-9
3025	       1.0e-9
3030	       1.0e-9
3035	       1.0e-9
3040	       1.0e-9
3045	       1.0e-9
3050	       1.0e-9
3055	       1.0e-9
3060	       1.0e-9
3065	       1.0e-9
3070	       1.0e-9
3075	       1.0e-9
3080	       1.0e-9
3085	       1.0e-9
3090	       1.0e-9
3095	       1.0e-9
3100	       1.0e-9
3105	       1.0e-9
3110	       1.0e-9
3115	       1.0e-9
3120	       1.0e-9
3125	       1.0e-9
3130	       1.0e-9
3135	       1.0e-9
3140	       1.0e-9
3145	       1.0e-9
3150	       1.0e-9
3155	       1.0e-9
3160	       1.0e-9
3165	       1.0e-9
3170	       1.0e-9
3175	       1.0e-9
3180	       1.0e-9
3185	       1.0e-9
3190	       1.0e-9
3195	       1.0e-9
3200	       1.0e-9
3205	       1.0e-9
3210	       1.0e-9
3215	       1.0e-9
3220	       1.0e-9
3225	       1.0e-9
3230	       1.0e-9
3235	       1.0e-9
3240	       1.0e-9
3245	       1.0e-9
3250	       1.0e-9
3255	       1.0e-9
3260	       1.0e-9
3265	       1.0e-9
3270	       1.0e-9
3275	       1.0e-9
3280	       1.0e-9
3285	       1.0e-9
3290	       1.0e-9
3295	       1.0e-9
3300	       1.0e-9
