G2V	RVS_T05750G45P00V000K2SNWNVRVSF	
8439.6643      8780.2676
3000	       1.0e-9
3005	       1.0e-9
3010	       1.0e-9
3015	       1.0e-9
3020	       1.0e-9
3025	       1.0e-9
3030	       1.0e-9
3035	       1.0e-9
3040	       1.0e-9
3045	       1.0e-9
3050	       1.0e-9
3055	       1.0e-9
3060	       1.0e-9
3065	       1.0e-9
3070	       1.0e-9
3075	       1.0e-9
3080	       1.0e-9
3085	       1.0e-9
3090	       1.0e-9
3095	       1.0e-9
3100	       1.0e-9
3105	       1.0e-9
3110	       1.0e-9
3115	       1.0e-9
3120	       1.0e-9
3125	       1.0e-9
3130	       1.0e-9
3135	       1.0e-9
3140	       1.0e-9
3145	       1.0e-9
3150	       1.0e-9
3155	       1.0e-9
3160	       1.0e-9
3165	       1.0e-9
3170	       1.0e-9
3175	       1.0e-9
3180	       1.0e-9
3185	       1.0e-9
3190	       1.0e-9
3195	       1.0e-9
3200	       1.0e-9
3205	       1.0e-9
3210	       1.0e-9
3215	       1.0e-9
3220	       1.0e-9
3225	       1.0e-9
3230	       1.0e-9
3235	       1.0e-9
3240	       1.0e-9
3245	       1.0e-9
3250	       1.0e-9
3255	       1.0e-9
3260	       1.0e-9
3265	       1.0e-9
3270	       1.0e-9
3275	       1.0e-9
3280	       1.0e-9
3285	       1.0e-9
3290	       1.0e-9
3295	       1.0e-9
3300	       1.0e-9
3305	       1.0e-9
3310	       1.0e-9
3315	       1.0e-9
3320	       1.0e-9
3325	       1.0e-9
3330	       1.0e-9
3335	       1.0e-9
3340	       1.0e-9
3345	       1.0e-9
3350	       1.0e-9
3355	       1.0e-9
3360	       1.0e-9
3365	       1.0e-9
3370	       1.0e-9
3375	       1.0e-9
3380	       1.0e-9
3385	       1.0e-9
3390	       1.0e-9
3395	       1.0e-9
3400	       1.0e-9
3405	       1.0e-9
3410	       1.0e-9
3415	       1.0e-9
3420	       1.0e-9
3425	       1.0e-9
3430	       1.0e-9
3435	       1.0e-9
3440	       1.0e-9
3445	       1.0e-9
3450	       1.0e-9
3455	       1.0e-9
3460	       1.0e-9
3465	       1.0e-9
3470	       1.0e-9
3475	       1.0e-9
3480	       1.0e-9
3485	       1.0e-9
3490	       1.0e-9
3495	       1.0e-9
3500	       1.0e-9
3505	       1.0e-9
3510	       1.0e-9
3515	       1.0e-9
3520	       1.0e-9
3525	       1.0e-9
3530	       1.0e-9
3535	       1.0e-9
3540	       1.0e-9
3545	       1.0e-9
3550	       1.0e-9
3555	       1.0e-9
3560	       1.0e-9
3565	       1.0e-9
3570	       1.0e-9
3575	       1.0e-9
3580	       1.0e-9
3585	       1.0e-9
3590	       1.0e-9
3595	       1.0e-9
3600	       1.0e-9
3605	       1.0e-9
3610	       1.0e-9
3615	       1.0e-9
3620	       1.0e-9
3625	       1.0e-9
3630	       1.0e-9
3635	       1.0e-9
3640	       1.0e-9
3645	       1.0e-9
3650	       1.0e-9
3655	       1.0e-9
3660	       1.0e-9
3665	       1.0e-9
3670	       1.0e-9
3675	       1.0e-9
3680	       1.0e-9
3685	       1.0e-9
3690	       1.0e-9
3695	       1.0e-9
3700	       1.0e-9
3705	       1.0e-9
3710	       1.0e-9
3715	       1.0e-9
3720	       1.0e-9
3725	       1.0e-9
3730	       1.0e-9
3735	       1.0e-9
3740	       1.0e-9
3745	       1.0e-9
3750	       1.0e-9
3755	       1.0e-9
3760	       1.0e-9
3765	       1.0e-9
3770	       1.0e-9
3775	       1.0e-9
3780	       1.0e-9
3785	       1.0e-9
3790	       1.0e-9
3795	       1.0e-9
3800	       1.0e-9
3805	       1.0e-9
3810	       1.0e-9
3815	       1.0e-9
3820	       1.0e-9
3825	       1.0e-9
3830	       1.0e-9
3835	       1.0e-9
3840	       1.0e-9
3845	       1.0e-9
3850	       1.0e-9
3855	       1.0e-9
3860	       1.0e-9
3865	       1.0e-9
3870	       1.0e-9
3875	       1.0e-9
3880	       1.0e-9
3885	       1.0e-9
3890	       1.0e-9
3895	       1.0e-9
3900	       1.0e-9
3905	       1.0e-9
3910	       1.0e-9
3915	       1.0e-9
3920	       1.0e-9
3925	       1.0e-9
3930	       1.0e-9
3935	       1.0e-9
3940	       1.0e-9
3945	       1.0e-9
3950	       1.0e-9
3955	       1.0e-9
3960	       1.0e-9
3965	       1.0e-9
3970	       1.0e-9
3975	       1.0e-9
3980	       1.0e-9
3985	       1.0e-9
3990	       1.0e-9
3995	       1.0e-9
4000	       1.0e-9
4005	       1.0e-9
4010	       1.0e-9
4015	       1.0e-9
4020	       1.0e-9
4025	       1.0e-9
4030	       1.0e-9
4035	       1.0e-9
4040	       1.0e-9
4045	       1.0e-9
4050	       1.0e-9
4055	       1.0e-9
4060	       1.0e-9
4065	       1.0e-9
4070	       1.0e-9
4075	       1.0e-9
4080	       1.0e-9
4085	       1.0e-9
4090	       1.0e-9
4095	       1.0e-9
4100	       1.0e-9
4105	       1.0e-9
4110	       1.0e-9
4115	       1.0e-9
4120	       1.0e-9
4125	       1.0e-9
4130	       1.0e-9
4135	       1.0e-9
4140	       1.0e-9
4145	       1.0e-9
4150	       1.0e-9
4155	       1.0e-9
4160	       1.0e-9
4165	       1.0e-9
4170	       1.0e-9
4175	       1.0e-9
4180	       1.0e-9
4185	       1.0e-9
4190	       1.0e-9
4195	       1.0e-9
4200	       1.0e-9
4205	       1.0e-9
4210	       1.0e-9
4215	       1.0e-9
4220	       1.0e-9
4225	       1.0e-9
4230	       1.0e-9
4235	       1.0e-9
4240	       1.0e-9
4245	       1.0e-9
4250	       1.0e-9
4255	       1.0e-9
4260	       1.0e-9
4265	       1.0e-9
4270	       1.0e-9
4275	       1.0e-9
4280	       1.0e-9
4285	       1.0e-9
4290	       1.0e-9
4295	       1.0e-9
4300	       1.0e-9
4305	       1.0e-9
4310	       1.0e-9
4315	       1.0e-9
4320	       1.0e-9
4325	       1.0e-9
4330	       1.0e-9
4335	       1.0e-9
4340	       1.0e-9
4345	       1.0e-9
4350	       1.0e-9
4355	       1.0e-9
4360	       1.0e-9
4365	       1.0e-9
4370	       1.0e-9
4375	       1.0e-9
4380	       1.0e-9
4385	       1.0e-9
