#   xsum       ysum
#
7650.1889   0.7573 
7650.4075   0.7686 
7650.6260   0.7084 
7650.8446   0.8053 
7651.0632   0.8737 
7651.2819   0.8443 
7651.5003   0.7151 
7651.7192   0.6185 
7651.9375   0.7189 
7652.1564   0.8368 
7652.3749   0.8176 
7652.5936   0.7415 
7652.8123   0.7736 
7653.0309   0.7854 
7653.2497   0.8130 
7653.4681   0.7713 
7653.6870   0.6444 
7653.9055   0.7088 
7654.1243   0.7813 
7654.3429   0.6872 
7654.5616   0.6353 
7654.7804   0.6956 
7654.9990   0.7696 
7655.2178   0.8238 
7655.4364   0.7609 
7655.6553   0.6873 
7655.8740   0.6998 
7656.0926   0.7412 
7656.3116   0.8321 
7656.5301   0.8310 
7656.7490   0.7889 
7656.9678   0.7305 
7657.1865   0.6992 
7657.4054   0.6939 
7657.6241   0.6554 
7657.8428   0.7549 
7658.0618   0.7894 
7658.2803   0.6911 
7658.4994   0.6602 
7658.7181   0.7070 
7658.9369   0.7557 
7659.1558   0.7426 
7659.3746   0.7410 
7659.5934   0.6430 
7659.8124   0.6530 
7660.0310   0.7717 
7660.2500   0.8470 
7660.4690   0.8582 
7660.6875   0.7818 
7660.9067   0.6615 
7661.1256   0.6324 
7661.3443   0.7203 
7661.5634   0.7712 
7661.7823   0.7789 
7662.0010   0.7679 
7662.2201   0.7409 
7662.4390   0.7363 
7662.6578   0.7244 
7662.8769   0.7748 
7663.0959   0.7903 
7663.3146   0.7475 
7663.5337   0.6728 
7663.7528   0.6686 
7663.9715   0.6371 
7664.1905   0.5195 
7664.4097   0.5357 
7664.6285   0.5428 
7664.8475   0.3479 
7665.0665   0.4096 
7665.2856   0.6259 
7665.5044   0.7023 
7665.7236   0.5995 
7665.9428   0.4936 
7666.1615   0.5293 
7666.3806   0.6118 
7666.5998   0.6647 
7666.8188   0.6693 
7667.0376   0.6466 
7667.2568   0.6257 
7667.4760   0.5997 
7667.6950   0.6089 
7667.9140   0.6407 
7668.1332   0.6591 
7668.3524   0.6819 
7668.5712   0.6636 
7668.7904   0.6566 
7669.0096   0.6368 
7669.2289   0.6705 
7669.4477   0.6974 
7669.6668   0.6875 
7669.8861   0.6844 
7670.1054   0.6330 
7670.3243   0.6195 
7670.5434   0.6240 
7670.7627   0.7027 
7670.9820   0.7872 
7671.2011   0.7599 
7671.4201   0.6402 
7671.6394   0.4727 
7671.8586   0.4207 
7672.0779   0.4384 
7672.2968   0.4805 
7672.5161   0.5112 
7672.7354   0.5743 
7672.9547   0.6090 
7673.1741   0.5716 
7673.3929   0.5552 
7673.6122   0.5722 
7673.8316   0.5879 
7674.0510   0.5882 
7674.2703   0.6105 
7674.4892   0.5979 
7674.7086   0.5544 
7674.9279   0.5217 
7675.1472   0.5376 
7675.3666   0.5720 
7675.5860   0.6047 
7675.8049   0.6393 
7676.0243   0.6578 
7676.2438   0.6546 
7676.4631   0.6314 
7676.6825   0.5653 
7676.9019   0.5657 
7677.1209   0.5809 
7677.3403   0.6426 
7677.5598   0.6844 
7677.7791   0.6797 
7677.9987   0.7201 
7678.2180   0.6869 
7678.4373   0.6032 
7678.6565   0.6476 
7678.8759   0.6126 
7679.0955   0.5475 
7679.3148   0.5726 
7679.5344   0.5981 
7679.7538   0.5786 
7679.9734   0.5660 
7680.1923   0.5471 
7680.4119   0.5679 
7680.6313   0.6480 
7680.8508   0.6734 
7681.0703   0.6206 
7681.2898   0.6005 
7681.5095   0.6360 
7681.7288   0.5603 
7681.9485   0.5096 
7682.1676   0.6030 
7682.3870   0.6888 
7682.6067   0.6598 
7682.8259   0.6244 
7683.0457   0.6387 
7683.2653   0.7051 
7683.4846   0.6324 
7683.7043   0.5807 
7683.9241   0.5427 
7684.1434   0.5570 
7684.3630   0.6170 
7684.5828   0.6412 
7684.8022   0.6370 
7685.0212   0.5962 
7685.2410   0.5578 
7685.4607   0.6279 
7685.6803   0.6328 
7685.8997   0.6357 
7686.1194   0.6593 
7686.3391   0.6404 
7686.5588   0.6122 
7686.7786   0.5839 
7686.9978   0.5886 
7687.2175   0.6326 
7687.4373   0.6663 
7687.6570   0.5987 
7687.8767   0.6366 
7688.0964   0.7403 
7688.3162   0.7490 
7688.5359   0.6420 
7688.7551   0.5814 
7688.9749   0.5401 
7689.1946   0.5416 
7689.4143   0.6466 
7689.6340   0.6738 
7689.8538   0.6256 
7690.0735   0.6227 
7690.2932   0.7375 
7690.5129   0.7704 
7690.7327   0.6459 
7690.9524   0.5815 
7691.1721   0.6481 
7691.3918   0.6388 
7691.6116   0.5580 
7691.8313   0.6238 
7692.0510   0.6897 
7692.2710   0.6923 
7692.4910   0.6371 
7692.7107   0.6083 
7692.9304   0.6675 
7693.1501   0.6830 
7693.3699   0.6034 
7693.5896   0.6367 
7693.8093   0.7149 
7694.0293   0.7545 
7694.2493   0.6486 
7694.4690   0.5672 
7694.6887   0.6031 
7694.9084   0.6733 
7695.1284   0.6528 
7695.3484   0.6579 
7695.5681   0.6675 
7695.7878   0.6582 
7696.0079   0.7006 
7696.2283   0.7102 
7696.4480   0.7180 
7696.6677   0.6439 
7696.8878   0.5680 
7697.1077   0.5565 
7697.3274   0.6612 
7697.5474   0.7365 
7697.7673   0.7652 
7697.9871   0.7361 
7698.2071   0.6344 
7698.4270   0.6355 
7698.6467   0.5575 
7698.8674   0.3572 
7699.0872   0.3677 
7699.3072   0.5042 
7699.5271   0.5343 
7699.7469   0.6406 
7699.9670   0.7538 
7700.1868   0.7528 
7700.4070   0.6838 
7700.6267   0.6390 
7700.8473   0.6173 
7701.0671   0.6608 
7701.2873   0.7266 
7701.5071   0.6577 
7701.7273   0.6393 
7701.9470   0.6640 
7702.1672   0.6431 
7702.3871   0.6109 
7702.6077   0.5915 
7702.8276   0.6199 
7703.0476   0.6768 
7703.2677   0.7155 
7703.4876   0.7509 
7703.7078   0.6658 
7703.9280   0.6282 
7704.1482   0.7125 
7704.3684   0.7273 
7704.5883   0.6856 
7704.8084   0.5651 
7705.0285   0.4397 
7705.2488   0.4790 
7705.4690   0.5715 
7705.6892   0.6156 
7705.9092   0.5810 
7706.1293   0.5442 
7706.3494   0.5664 
7706.5700   0.6154 
7706.7901   0.5761 
7707.0102   0.5604 
7707.2302   0.6120 
7707.4504   0.5998 
7707.6710   0.6153 
7707.8912   0.6310 
7708.1112   0.6326 
7708.3313   0.6166 
7708.5515   0.6229 
7708.7722   0.5951 
7708.9923   0.6178 
7709.2125   0.6118 
7709.4326   0.6214 
7709.6530   0.6570 
7709.8735   0.6120 
7710.0936   0.5373 
7710.3138   0.5192 
7710.5340   0.5917 
7710.7546   0.6759 
7710.9749   0.6465 
7711.1951   0.5850 
7711.4152   0.5298 
7711.6359   0.5616 
7711.8561   0.7141 
7712.0764   0.7520 
7712.2966   0.6915 
7712.5173   0.6008 
7712.7375   0.5141 
7712.9578   0.4896 
7713.1781   0.5344 
7713.3988   0.5984 
7713.6190   0.6157 
7713.8393   0.6674 
7714.0598   0.6789 
7714.2803   0.5069 
7714.5006   0.4978 
7714.7209   0.5945 
7714.9416   0.6368 
7715.1620   0.6375 
7715.3822   0.6613 
7715.6028   0.6416 
7715.8233   0.5693 
7716.0436   0.5502 
7716.2640   0.5827 
7716.4848   0.6278 
7716.7051   0.6514 
7716.9254   0.6612 
7717.1462   0.6520 
7717.3666   0.6405 
7717.5869   0.6340 
7717.8076   0.6417 
7718.0281   0.6054 
7718.2485   0.5759 
7718.4691   0.6434 
7718.6896   0.6321 
7718.9101   0.6216 
7719.1307   0.6752 
7719.3513   0.6584 
7719.5717   0.6755 
7719.7923   0.6756 
7720.0130   0.6235 
7720.2334   0.5810 
7720.4542   0.6265 
7720.6747   0.6133 
7720.8951   0.6281 
7721.1160   0.7018 
7721.3364   0.7643 
7721.5570   0.7214 
7721.7778   0.5953 
7721.9982   0.5952 
7722.2190   0.6395 
7722.4396   0.6291 
