#   xsum       ysum
#
7650.1418   0.7933 
7650.2948   0.9578 
7650.4478   0.9948 
7650.6009   0.9980 
7650.7539   0.9989 
7650.9068   0.9990 
7651.0599   0.9989 
7651.2129   0.9971 
7651.3659   0.9951 
7651.5189   0.9958 
7651.6721   0.9983 
7651.8250   0.9996 
7651.9780   1.0000 
7652.1311   1.0000 
7652.2842   1.0000 
7652.4372   0.9996 
7652.5901   0.9990 
7652.7433   0.9982 
7652.8963   0.9959 
7653.0494   0.9940 
7653.2024   0.9938 
7653.3555   0.9845 
7653.5086   0.9384 
7653.6617   0.8590 
7653.8147   0.8425 
7653.9678   0.9140 
7654.1209   0.9732 
7654.2741   0.9864 
7654.4271   0.9804 
7654.5801   0.9681 
7654.7333   0.9417 
7654.8863   0.8799 
7655.0394   0.8009 
7655.1926   0.7723 
7655.3457   0.7835 
7655.4988   0.8095 
7655.6519   0.8831 
7655.8050   0.9570 
7655.9581   0.9873 
7656.1112   0.9940 
7656.2644   0.9957 
7656.4175   0.9969 
7656.5706   0.9977 
7656.7237   0.9976 
7656.8769   0.9939 
7657.0300   0.9776 
7657.1832   0.9343 
7657.3363   0.8428 
7657.4895   0.7173 
7657.6426   0.6911 
7657.7958   0.8160 
7657.9489   0.9393 
7658.1020   0.9791 
7658.2552   0.9782 
7658.4083   0.9807 
7658.5616   0.9894 
7658.7148   0.9803 
7658.8679   0.9141 
7659.0211   0.7862 
7659.1743   0.7282 
7659.3274   0.8223 
7659.4807   0.9278 
7659.6338   0.9216 
7659.7871   0.8327 
7659.9402   0.7990 
7660.0935   0.8792 
7660.2466   0.9638 
7660.3999   0.9942 
7660.5530   0.9971 
7660.7062   0.9859 
7660.8595   0.9402 
7661.0127   0.8320 
7661.1659   0.7381 
7661.3191   0.7810 
7661.4723   0.8914 
7661.6256   0.9618 
7661.7788   0.9903 
7661.9321   0.9960 
7662.0852   0.9832 
7662.2386   0.9444 
7662.3918   0.9055 
7662.5451   0.9180 
7662.6983   0.9625 
7662.8516   0.9849 
7663.0048   0.9798 
7663.1581   0.9680 
7663.3113   0.9680 
7663.4646   0.9787 
7663.6179   0.9882 
7663.7712   0.9820 
7663.9245   0.9225 
7664.0777   0.7740 
7664.2310   0.6363 
7664.3843   0.6748 
7664.5375   0.7940 
7664.6909   0.7586 
7664.8442   0.6148 
7664.9974   0.6133 
7665.1508   0.7686 
7665.3041   0.9078 
7665.4573   0.9718 
7665.6106   0.9918 
7665.7640   0.9965 
7665.9173   0.9980 
7666.0706   0.9987 
7666.2239   0.9990 
7666.3773   0.9989 
7666.5306   0.9976 
7666.6840   0.9970 
7666.8373   0.9975 
7666.9906   0.9986 
7667.1439   0.9985 
7667.2973   0.9980 
7667.4506   0.9981 
7667.6040   0.9987 
7667.7573   0.9980 
7667.9107   0.9972 
7668.0640   0.9980 
7668.2174   0.9979 
7668.3708   0.9963 
7668.5242   0.9935 
7668.6775   0.9880 
7668.8310   0.9700 
7668.9843   0.9269 
7669.1376   0.8903 
7669.2910   0.9015 
7669.4445   0.9094 
7669.5979   0.8663 
7669.7511   0.8527 
7669.9046   0.9152 
7670.0581   0.9743 
7670.2114   0.9914 
7670.3649   0.9913 
7670.5183   0.9927 
7670.6715   0.9969 
7670.8251   0.9992 
7670.9785   1.0000 
7671.1319   1.0000 
7671.2854   1.0000 
7671.4387   1.0000 
7671.5922   0.9998 
7671.7456   0.9987 
7671.8990   0.9958 
7672.0526   0.9866 
7672.2060   0.9678 
7672.3594   0.9486 
7672.5128   0.9417 
7672.6662   0.9499 
7672.8197   0.9724 
7672.9732   0.9915 
7673.1266   0.9982 
7673.2801   0.9993 
7673.4335   1.0000 
7673.5871   1.0000 
7673.7406   1.0000 
7673.8940   0.9993 
7674.0475   0.9985 
7674.2010   0.9946 
7674.3544   0.9845 
7674.5080   0.9734 
7674.6614   0.9760 
7674.8150   0.9890 
7674.9684   0.9975 
7675.1219   0.9998 
7675.2754   0.9998 
7675.4290   0.9980 
7675.5824   0.9919 
7675.7360   0.9833 
7675.8894   0.9805 
7676.0430   0.9848 
7676.1964   0.9921 
7676.3501   0.9977 
7676.5036   0.9997 
7676.6571   1.0000 
7676.8106   1.0000 
7676.9642   1.0000 
7677.1178   0.9994 
7677.2712   0.9981 
7677.4248   0.9959 
7677.5783   0.9928 
7677.7319   0.9884 
7677.8854   0.9823 
7678.0390   0.9813 
7678.1926   0.9864 
7678.3461   0.9912 
7678.4997   0.9954 
7678.6533   0.9981 
7678.8068   0.9990 
7678.9605   0.9986 
7679.1140   0.9966 
7679.2676   0.9892 
7679.4212   0.9680 
7679.5747   0.9451 
7679.7284   0.9489 
7679.8819   0.9465 
7680.0356   0.8711 
7680.1892   0.7594 
7680.3428   0.7599 
7680.4963   0.8746 
7680.6500   0.9634 
7680.8036   0.9898 
7680.9571   0.9920 
7681.1108   0.9935 
7681.2645   0.9967 
7681.4181   0.9987 
7681.5717   0.9990 
7681.7253   0.9985 
7681.8790   0.9979 
7682.0326   0.9973 
7682.1863   0.9983 
7682.3400   0.9990 
7682.4935   0.9999 
7682.6472   1.0000 
7682.8009   1.0000 
7682.9545   0.9993 
7683.1081   0.9976 
7683.2618   0.9934 
7683.4155   0.9866 
7683.5692   0.9837 
7683.7229   0.9902 
7683.8765   0.9972 
7684.0302   0.9997 
7684.1839   1.0000 
7684.3376   1.0000 
7684.4913   1.0000 
7684.6450   0.9991 
7684.7986   0.9942 
7684.9524   0.9777 
7685.1061   0.9542 
7685.2598   0.9523 
7685.4134   0.9734 
7685.5671   0.9901 
7685.7209   0.9930 
7685.8746   0.9780 
7686.0283   0.9426 
7686.1821   0.9257 
7686.3357   0.9540 
7686.4895   0.9861 
7686.6433   0.9976 
7686.7969   0.9991 
7686.9507   1.0000 
7687.1044   1.0000 
7687.2582   1.0000 
7687.4119   1.0000 
7687.5657   0.9999 
7687.7194   0.9990 
7687.8732   0.9980 
7688.0269   0.9881 
7688.1807   0.9554 
7688.3345   0.9147 
7688.4882   0.9197 
7688.6420   0.9551 
7688.7958   0.9515 
7688.9495   0.9115 
7689.1033   0.9080 
7689.2571   0.9533 
7689.4109   0.9884 
7689.5647   0.9983 
7689.7185   0.9995 
7689.8723   0.9987 
7690.0261   0.9974 
7690.1799   0.9958 
7690.3337   0.9938 
7690.4875   0.9920 
7690.6413   0.9936 
7690.7951   0.9958 
7690.9489   0.9940 
7691.1027   0.9776 
7691.2566   0.9130 
7691.4105   0.7905 
