#   xsum       ysum
#
7650.1418   0.7675 
7650.2948   0.9085 
7650.4478   0.9072 
7650.6009   0.8873 
7650.7539   0.9111 
7650.9068   0.9456 
7651.0599   0.9590 
7651.2129   0.9507 
7651.3659   0.9224 
7651.5189   0.8810 
7651.6721   0.8550 
7651.8250   0.8719 
7651.9780   0.9162 
7652.1311   0.9496 
7652.2842   0.9546 
7652.4372   0.9359 
7652.5901   0.9129 
7652.7433   0.9152 
7652.8963   0.9283 
7653.0494   0.9299 
7653.2024   0.9380 
7653.3555   0.9312 
7653.5086   0.8525 
7653.6617   0.7361 
7653.8147   0.7247 
7653.9678   0.8289 
7654.1209   0.8932 
7654.2741   0.8362 
7654.4271   0.7274 
7654.5801   0.7187 
7654.7333   0.7956 
7654.8863   0.8078 
7655.0394   0.7612 
7655.1926   0.7691 
7655.3457   0.8272 
7655.4988   0.8480 
7655.6519   0.8555 
7655.8050   0.8719 
7655.9581   0.8800 
7656.1112   0.9047 
7656.2644   0.9400 
7656.4175   0.9544 
7656.5706   0.9466 
7656.7237   0.9364 
7656.8769   0.9193 
7657.0300   0.8801 
7657.1832   0.8338 
7657.3363   0.7624 
7657.4895   0.6418 
7657.6426   0.6045 
7657.7958   0.7304 
7657.9489   0.8631 
7658.1020   0.8878 
7658.2552   0.8423 
7658.4083   0.8042 
7658.5616   0.7923 
7658.7148   0.8082 
7658.8679   0.8012 
7659.0211   0.7028 
7659.1743   0.6482 
7659.3274   0.7387 
7659.4807   0.8128 
7659.6338   0.7701 
7659.7871   0.6875 
7659.9402   0.6917 
7660.0935   0.8096 
7660.2466   0.9148 
7660.3999   0.9514 
7660.5530   0.9496 
7660.7062   0.9133 
7660.8595   0.8340 
7661.0127   0.7078 
7661.1659   0.6111 
7661.3191   0.6597 
7661.4723   0.7761 
7661.6256   0.8562 
7661.7788   0.9069 
7661.9321   0.9265 
7662.0852   0.9163 
7662.2386   0.9107 
7662.3918   0.9094 
7662.5451   0.8953 
7662.6983   0.8898 
7662.8516   0.8985 
7663.0048   0.8923 
7663.1581   0.8654 
7663.3113   0.8136 
7663.4646   0.7518 
7663.6179   0.7557 
7663.7712   0.8009 
7663.9245   0.7683 
7664.0777   0.6134 
7664.2310   0.4539 
7664.3843   0.4549 
7664.5375   0.5268 
7664.6909   0.4545 
7664.8442   0.3071 
7664.9974   0.3156 
7665.1508   0.4973 
7665.3041   0.6922 
7665.4573   0.8001 
7665.6106   0.8125 
7665.7640   0.7733 
7665.9173   0.7583 
7666.0706   0.7844 
7666.2239   0.8190 
7666.3773   0.8532 
7666.5306   0.8737 
7666.6840   0.8788 
7666.8373   0.8807 
7666.9906   0.8769 
7667.1439   0.8634 
7667.2973   0.8381 
7667.4506   0.8188 
7667.6040   0.8286 
7667.7573   0.8567 
7667.9107   0.8714 
7668.0640   0.8754 
7668.2174   0.8853 
7668.3708   0.8900 
7668.5242   0.8841 
7668.6775   0.8791 
7668.8310   0.8619 
7668.9843   0.8138 
7669.1376   0.7837 
7669.2910   0.8191 
7669.4445   0.8560 
7669.5979   0.8485 
7669.7511   0.8463 
7669.9046   0.8670 
7670.0581   0.8682 
7670.2114   0.8547 
7670.3649   0.8476 
7670.5183   0.8482 
7670.6715   0.8722 
7670.8251   0.9131 
7670.9785   0.9366 
7671.1319   0.9334 
7671.2854   0.9070 
7671.4387   0.8500 
7671.5922   0.7776 
7671.7456   0.7366 
7671.8990   0.7119 
7672.0526   0.6843 
7672.2060   0.7012 
7672.3594   0.7503 
7672.5128   0.7805 
7672.6662   0.8104 
7672.8197   0.8466 
7672.9732   0.8583 
7673.1266   0.8453 
7673.2801   0.8351 
7673.4335   0.8378 
7673.5871   0.8390 
7673.7406   0.8378 
7673.8940   0.8302 
7674.0475   0.8348 
7674.2010   0.8556 
7674.3544   0.8623 
7674.5080   0.8544 
7674.6614   0.8316 
7674.8150   0.8042 
7674.9684   0.8037 
7675.1219   0.8194 
7675.2754   0.8343 
7675.4290   0.8461 
7675.5824   0.8485 
7675.7360   0.8439 
7675.8894   0.8452 
7676.0430   0.8538 
7676.1964   0.8674 
7676.3501   0.8785 
7676.5036   0.8671 
7676.6571   0.8352 
7676.8106   0.8147 
7676.9642   0.8148 
7677.1178   0.8216 
7677.2712   0.8500 
7677.4248   0.8835 
7677.5783   0.8932 
7677.7319   0.8882 
7677.8854   0.8918 
7678.0390   0.8955 
7678.1926   0.8710 
7678.3461   0.8330 
7678.4997   0.8394 
7678.6533   0.8755 
7678.8068   0.8746 
7678.9605   0.8385 
7679.1140   0.8195 
7679.2676   0.8320 
7679.4212   0.8479 
7679.5747   0.8504 
7679.7284   0.8400 
7679.8819   0.8253 
7680.0356   0.7876 
7680.1892   0.7317 
7680.3428   0.7346 
7680.4963   0.8033 
7680.6500   0.8670 
7680.8036   0.8887 
7680.9571   0.8765 
7681.1108   0.8543 
7681.2645   0.8467 
7681.4181   0.8624 
7681.5717   0.8613 
7681.7253   0.8242 
7681.8790   0.7911 
7682.0326   0.8027 
7682.1863   0.8501 
7682.3400   0.8856 
7682.4935   0.8863 
7682.6472   0.8791 
7682.8009   0.8684 
7682.9545   0.8552 
7683.1081   0.8681 
7683.2618   0.8784 
7683.4155   0.8399 
7683.5692   0.8019 
7683.7229   0.8098 
7683.8765   0.8197 
7684.0302   0.8236 
7684.1839   0.8394 
7684.3376   0.8614 
