#   xsum       ysum
#
7650.1418   0.4192 
7650.2948   0.4456 
7650.4478   0.3843 
7650.6009   0.3385 
7650.7539   0.3756 
7650.9068   0.4539 
7651.0599   0.4981 
7651.2129   0.4854 
7651.3659   0.4294 
7651.5189   0.3387 
7651.6721   0.2634 
7651.8250   0.2744 
7651.9780   0.3659 
7652.1311   0.4490 
7652.2842   0.4600 
7652.4372   0.4163 
7652.5901   0.3677 
7652.7433   0.3784 
7652.8963   0.3988 
7653.0494   0.3930 
7653.2024   0.4455 
7653.3555   0.5013 
7653.5086   0.4307 
7653.6617   0.3167 
7653.8147   0.3061 
7653.9678   0.3762 
7654.1209   0.4116 
7654.2741   0.3667 
7654.4271   0.3151 
7654.5801   0.3155 
7654.7333   0.3321 
7654.8863   0.3524 
7655.0394   0.4073 
7655.1926   0.4587 
7655.3457   0.4379 
7655.4988   0.3586 
7655.6519   0.3277 
7655.8050   0.3464 
7655.9581   0.3434 
7656.1112   0.3654 
7656.2644   0.4358 
7656.4175   0.4789 
7656.5706   0.4497 
7656.7237   0.4156 
7656.8769   0.3868 
7657.0300   0.3383 
7657.1832   0.3295 
7657.3363   0.3486 
7657.4895   0.3375 
7657.6426   0.3352 
7657.7958   0.3721 
7657.9489   0.4012 
7658.1020   0.3829 
7658.2552   0.3340 
7658.4083   0.3248 
7658.5616   0.3508 
7658.7148   0.3706 
7658.8679   0.4059 
7659.0211   0.4370 
7659.1743   0.4491 
7659.3274   0.4487 
7659.4807   0.3865 
7659.6338   0.3060 
7659.7871   0.3147 
7659.9402   0.3858 
7660.0935   0.4448 
7660.2466   0.4762 
7660.3999   0.4912 
7660.5530   0.4836 
7660.7062   0.4124 
7660.8595   0.3194 
7661.0127   0.2886 
7661.1659   0.3198 
7661.3191   0.3775 
7661.4723   0.4048 
7661.6256   0.3930 
7661.7788   0.4047 
7661.9321   0.4069 
7662.0852   0.3599 
7662.2386   0.3341 
7662.3918   0.3279 
7662.5451   0.3109 
7662.6983   0.3257 
7662.8516   0.3666 
7663.0048   0.3817 
7663.1581   0.3805 
7663.3113   0.3663 
7663.4646   0.3336 
7663.6179   0.3096 
7663.7712   0.2904 
7663.9245   0.2795 
7664.0777   0.2746 
7664.2310   0.2681 
7664.3843   0.2861 
7664.5375   0.3070 
7664.6909   0.2664 
7664.8442   0.1925 
7664.9974   0.1852 
7665.1508   0.2410 
7665.3041   0.2886 
7665.4573   0.3140 
7665.6106   0.3043 
7665.7640   0.2477 
7665.9173   0.1988 
7666.0706   0.1907 
7666.2239   0.2050 
7666.3773   0.2291 
7666.5306   0.2496 
7666.6840   0.2596 
7666.8373   0.2581 
7666.9906   0.2468 
7667.1439   0.2426 
7667.2973   0.2522 
7667.4506   0.2555 
7667.6040   0.2487 
7667.7573   0.2515 
7667.9107   0.2512 
7668.0640   0.2500 
7668.2174   0.2616 
7668.3708   0.2663 
7668.5242   0.2560 
7668.6775   0.2494 
7668.8310   0.2477 
7668.9843   0.2498 
7669.1376   0.2714 
7669.2910   0.2939 
7669.4445   0.2841 
7669.5979   0.2677 
7669.7511   0.2711 
7669.9046   0.2737 
7670.0581   0.2542 
7670.2114   0.2387 
7670.3649   0.2434 
7670.5183   0.2491 
7670.6715   0.2750 
7670.8251   0.3288 
7670.9785   0.3646 
7671.1319   0.3564 
7671.2854   0.3164 
7671.4387   0.2636 
7671.5922   0.2071 
7671.7456   0.1735 
7671.8990   0.1687 
7672.0526   0.1731 
7672.2060   0.1803 
7672.3594   0.1867 
7672.5128   0.1914 
7672.6662   0.2060 
7672.8197   0.2244 
7672.9732   0.2312 
7673.1266   0.2216 
7673.2801   0.2087 
7673.4335   0.2092 
7673.5871   0.2175 
7673.7406   0.2271 
7673.8940   0.2281 
7674.0475   0.2273 
7674.2010   0.2344 
7674.3544   0.2322 
7674.5080   0.2238 
7674.6614   0.2143 
7674.8150   0.2017 
7674.9684   0.1967 
7675.1219   0.1991 
7675.2754   0.2065 
7675.4290   0.2155 
7675.5824   0.2239 
7675.7360   0.2360 
7675.8894   0.2482 
7676.0430   0.2529 
7676.1964   0.2547 
7676.3501   0.2591 
7676.5036   0.2464 
7676.6571   0.2212 
7676.8106   0.2215 
7676.9642   0.2354 
7677.1178   0.2341 
7677.2712   0.2434 
7677.4248   0.2684 
7677.5783   0.2805 
7677.7319   0.2794 
7677.8854   0.2951 
7678.0390   0.3214 
7678.1926   0.3164 
7678.3461   0.2722 
7678.4997   0.2516 
7678.6533   0.2621 
7678.8068   0.2512 
7678.9605   0.2225 
7679.1140   0.2107 
7679.2676   0.2173 
7679.4212   0.2284 
7679.5747   0.2339 
7679.7284   0.2245 
7679.8819   0.2152 
7680.0356   0.2108 
7680.1892   0.2047 
7680.3428   0.2092 
7680.4963   0.2402 
7680.6500   0.2865 
7680.8036   0.2985 
7680.9571   0.2714 
7681.1108   0.2437 
7681.2645   0.2429 
7681.4181   0.2709 
7681.5717   0.2694 
7681.7253   0.2300 
7681.8790   0.2028 
7682.0326   0.2115 
7682.1863   0.2534 
7682.3400   0.2886 
7682.4935   0.2790 
7682.6472   0.2575 
7682.8009   0.2496 
7682.9545   0.2526 
7683.1081   0.2861 
7683.2618   0.3143 
7683.4155   0.2880 
7683.5692   0.2475 
7683.7229   0.2291 
7683.8765   0.2124 
7684.0302   0.2031 
7684.1839   0.2138 
7684.3376   0.2359 
7684.4913   0.2523 
7684.6450   0.2533 
7684.7986   0.2548 
7684.9524   0.2494 
7685.1061   0.2252 
7685.2598   0.2201 
7685.4134   0.2566 
7685.5671   0.2854 
7685.7209   0.2679 
7685.8746   0.2530 
7686.0283   0.2566 
7686.1821   0.2536 
7686.3357   0.2548 
7686.4895   0.2570 
7686.6433   0.2420 
7686.7969   0.2275 
7686.9507   0.2282 
7687.1044   0.2464 
7687.2582   0.2818 
7687.4119   0.2865 
7687.5657   0.2509 
7687.7194   0.2346 
7687.8732   0.2672 
7688.0269   0.3211 
7688.1807   0.3671 
7688.3345   0.3573 
7688.4882   0.2861 
7688.6420   0.2309 
7688.7958   0.2156 
7688.9495   0.2075 
7689.1033   0.2049 
7689.2571   0.2336 
7689.4109   0.2729 
7689.5647   0.2785 
7689.7185   0.2603 
7689.8723   0.2386 
7690.0261   0.2381 
7690.1799   0.2904 
7690.3337   0.3688 
7690.4875   0.3843 
7690.6413   0.3246 
7690.7951   0.2595 
7690.9489   0.2404 
7691.1027   0.2618 
7691.2566   0.2847 
7691.4105   0.2791 
7691.5643   0.2454 
7691.7181   0.2389 
7691.8719   0.2655 
7692.0257   0.2815 
7692.1796   0.2943 
7692.3334   0.2987 
7692.4873   0.2709 
7692.6412   0.2388 
7692.7950   0.2412 
7692.9488   0.2786 
7693.1027   0.3032 
7693.2566   0.2709 
7693.4105   0.2339 
7693.5643   0.2425 
7693.7182   0.2741 
7693.8721   0.3209 
7694.0259   0.3579 
7694.1799   0.3228 
7694.3337   0.2503 
7694.4876   0.2167 
7694.6415   0.2216 
7694.7954   0.2483 
7694.9493   0.2739 
7695.1032   0.2733 
7695.2571   0.2768 
7695.4110   0.2914 
7695.5649   0.2754 
7695.7188   0.2557 
7695.8728   0.2694 
7696.0266   0.2924 
7696.1806   0.3128 
7696.3345   0.3459 
7696.4884   0.3385 
7696.6423   0.2835 
7696.7962   0.2419 
7696.9502   0.2200 
7697.1042   0.2244 
7697.2581   0.2619 
7697.4121   0.3051 
7697.5661   0.3278 
7697.7200   0.3508 
7697.8739   0.3613 
7698.0278   0.3258 
