#   xsum       ysum
#
7650.1418   0.7933 
7650.2948   0.9580 
7650.4478   0.9959 
7650.6009   0.9998 
7650.7539   1.0000 
7650.9068   1.0000 
7651.0599   1.0000 
7651.2129   1.0000 
7651.3659   1.0000 
7651.5189   1.0000 
7651.6721   1.0000 
7651.8250   1.0000 
7651.9780   1.0000 
7652.1311   1.0000 
7652.2842   1.0000 
7652.4372   1.0000 
7652.5901   1.0000 
7652.7433   0.9997 
7652.8963   0.9991 
7653.0494   0.9985 
7653.2024   0.9987 
7653.3555   0.9991 
7653.5086   0.9986 
7653.6617   0.9980 
7653.8147   0.9982 
7653.9678   0.9991 
7654.1209   0.9996 
7654.2741   0.9999 
7654.4271   0.9996 
7654.5801   0.9986 
7654.7333   0.9971 
7654.8863   0.9966 
7655.0394   0.9959 
7655.1926   0.9912 
7655.3457   0.9797 
7655.4988   0.9729 
7655.6519   0.9824 
7655.8050   0.9947 
7655.9581   0.9993 
7656.1112   1.0000 
7656.2644   1.0000 
7656.4175   1.0000 
7656.5706   1.0000 
7656.7237   1.0000 
7656.8769   1.0000 
7657.0300   0.9994 
7657.1832   0.9960 
7657.3363   0.9855 
7657.4895   0.9729 
7657.6426   0.9743 
7657.7958   0.9876 
7657.9489   0.9969 
7658.1020   0.9993 
7658.2552   0.9996 
7658.4083   0.9998 
7658.5616   0.9999 
7658.7148   0.9995 
7658.8679   0.9973 
7659.0211   0.9925 
7659.1743   0.9903 
7659.3274   0.9939 
7659.4807   0.9980 
7659.6338   0.9982 
7659.7871   0.9951 
7659.9402   0.9927 
7660.0935   0.9945 
7660.2466   0.9980 
7660.3999   0.9994 
7660.5530   0.9979 
7660.7062   0.9926 
7660.8595   0.9872 
7661.0127   0.9882 
7661.1659   0.9926 
7661.3191   0.9963 
7661.4723   0.9987 
7661.6256   0.9997 
7661.7788   0.9999 
7661.9321   0.9995 
7662.0852   0.9967 
7662.2386   0.9886 
7662.3918   0.9801 
7662.5451   0.9828 
7662.6983   0.9926 
7662.8516   0.9984 
7663.0048   0.9997 
7663.1581   0.9997 
7663.3113   0.9997 
7663.4646   0.9997 
7663.6179   0.9996 
7663.7712   0.9996 
7663.9245   0.9991 
7664.0777   0.9972 
7664.2310   0.9949 
7664.3843   0.9951 
7664.5375   0.9952 
7664.6909   0.9873 
7664.8442   0.9750 
7664.9974   0.9761 
7665.1508   0.9890 
7665.3041   0.9975 
7665.4573   0.9997 
7665.6106   1.0000 
7665.7640   0.9999 
7665.9173   0.9996 
7666.0706   0.9991 
7666.2239   0.9991 
7666.3773   0.9996 
7666.5306   0.9999 
7666.6840   1.0000 
7666.8373   1.0000 
7666.9906   1.0000 
7667.1439   1.0000 
7667.2973   1.0000 
7667.4506   1.0000 
7667.6040   1.0000 
7667.7573   0.9999 
7667.9107   0.9998 
7668.0640   0.9998 
7668.2174   0.9999 
7668.3708   1.0000 
7668.5242   1.0000 
7668.6775   1.0000 
7668.8310   0.9997 
7668.9843   0.9994 
7669.1376   0.9990 
7669.2910   0.9991 
7669.4445   0.9988 
7669.5979   0.9977 
7669.7511   0.9974 
7669.9046   0.9985 
7670.0581   0.9996 
7670.2114   1.0000 
7670.3649   1.0000 
7670.5183   1.0000 
7670.6715   1.0000 
7670.8251   1.0000 
7670.9785   1.0000 
7671.1319   1.0000 
7671.2854   1.0000 
7671.4387   1.0000 
7671.5922   1.0000 
7671.7456   1.0000 
7671.8990   1.0000 
7672.0526   0.9996 
7672.2060   0.9986 
7672.3594   0.9978 
7672.5128   0.9983 
7672.6662   0.9992 
7672.8197   0.9997 
7672.9732   0.9999 
7673.1266   1.0000 
7673.2801   1.0000 
7673.4335   1.0000 
7673.5871   1.0000 
7673.7406   1.0000 
7673.8940   1.0000 
7674.0475   0.9999 
7674.2010   0.9991 
